ORDEN,AÑO,MES,CUENCA,FUENTE,Dia_1,Dia_2,Dia_3,Dia_4,Dia_5,Dia_6,Dia_7,Dia_8,Dia_9,Dia_10,Dia_11,Dia_12,Dia_13,Dia_14,Dia_15,Dia_16,Dia_17,Dia_18,Dia_19,Dia_20,Dia_21,Dia_22,Dia_23,Dia_24,Dia_25,Dia_26,Dia_27,Dia_28,Dia_29,Dia_30,Dia_31
1,2016,2,CHINCHINA,CHINCHINA,4417,4185,4185,4185,4417,4417,4417,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,3846,6735,9625,9047,6158,7313,6158,5580,5580,5002,,
2,2016,2,CHINCHINA,CAJONES,1540,1135,1135,1135,1540,1540,1540,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1226,2084,3442,3442,3174,3174,2906,2906,2513,2423,,
3,2016,2,CHINCHINA,ROMERALES,1230,1230,1230,1230,1230,1230,1230,1288,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,2178,5027,3959,3246,2712,3068,2534,2356,2178,,
4,2016,2,CHINCHINA,LA MARIA,532,532,532,532,532,532,532,521,521,521,521,521,521,521,521,521,521,521,521,521,724,1534,1129,1534,1129,1331,724,724,678,,
5,2016,2,CHINCHINA,CALIFORNIA,1563,1563,1400,1400,1400,1400,1400,1424,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399,1257,1681,4645,3939,3939,3375,3093,2810,2528,2309,,
6,2016,2,RIO BLANCO,RIO BLANCO,1904,1904,1904,1904,1904,1904,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,2003,3916,2616,2175,2003,2003,2003,2003,2003,,
7,2016,2,RIO BLANCO,PINARES,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,720,945,664,664,664,664,664,664,664,,
8,2016,2,RIO BLANCO,OLIVARES,131,131,127,131,131,131,131,200,200,200,200,200,200,200,200,200,200,200,200,200,242,327,242,242,242,242,242,242,242,,
9,2016,2,RIO BLANCO,LA YE,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,347,347,347,426,899,899,741,741,741,583,583,504,,
10,2016,3,CHINCHINA,CHINCHINA,5002,9047,5580,5580,6735,5580,5580,5580,5580,5580,5580,5002,5002,5580,5002,5002,5002,6735,5580,5002,5002,5002,5002,5002,5002,5002,4424,6158,5002,5002,6158
