Year	Site	UniversalPlotName	Banded	PtCountsum	Avgmaxht	Avgdens	ht.thatch	S.patens	Distichlis	S.alternifloraShort	S.alternifloraTall	Juncus	Bare	Other	Phragmites	Shrub	Tallsedge	Water							
2002	EastRiverMarsh	02PLOT012	31	53	33.19	23.30	4.67	21.31	41.47	32.22	2.78	0.00	1.67	0.56	0.00	0.00	0.00	0.00							
2002	EastRiverMarsh	02PLOT013	40	40	48.22	27.63	6.56	11.67	52.78	23.61	9.72	0.00	0.00	0.00	0.00	0.00	0.00	2.22							
2002	EastRiverMarsh	02PLOT014	15	15	33.81	26.40	3.33	29.09	17.80	35.89	0.00	2.22	8.33	0.00	0.00	6.67	0.00	0.00							
2002	EastRiverMarsh	02PLOT015	27	33	28.34	45.63	7.33	52.22	19.76	5.56	3.33	7.78	2.22	8.89	0.00	0.00	0.00	0.25							
2002	EastRiverMarsh	02PLOT016	20	17	28.75	38.88	3.44	47.84	12.78	15.49	10.00	0.00	10.14	3.75	0.00	0.00	0.00	0.00							
2002	EastRiverMarsh	02PLOT017	17	30	24.19	53.60	3.44	60.42	0.01	26.44	0.00	0.00	2.01	0.00	0.00	0.00	0.00	11.11							
2002	EastRiverMarsh	02PLOT018	17	49	39.34	18.20	2.11	17.35	2.67	42.56	25.03	0.56	11.29	0.56	0.00	0.00	0.00	0.00							
2002	EastRiverMarsh	02PLOT019	29	39	38.75	48.18	5.89	55.34	10.32	20.56	6.44	5.56	1.78	0.00	0.00	0.00	0.00	0.00							
2002	HammonassetSP	02PLOT001	13	22	38.06	33.53	5.22	42.78	0.00	37.76	9.78	0.00	3.33	1.91	0.00	0.00	0.00	4.44							
2002	HammonassetSP	02PLOT002	37	23	27.34	17.40	0.89	17.22	0.00	29.74	16.00	0.00	14.56	0.26	0.00	0.00	0.00	22.22							
2002	HammonassetSP	02PLOT003	35	41	33.00	46.43	0.44	28.08	3.78	30.00	3.11	26.44	4.67	3.92	0.00	0.00	0.00	0.00							
2002	HammonassetSP	02PLOT004	47	26	47.81	44.83	3.33	35.37	12.69	0.00	13.00	37.78	1.11	0.06	0.00	0.00	0.00	0.00							
2002	HammonassetSP	02PLOT005	27	23	40.75	37.78	5.00	64.92	4.67	7.22	20.86	0.00	2.33	0.00	0.00	0.00	0.00	0.00							
2002	HammonassetSP	02PLOT006	29	19	31.50	40.88	4.89	47.00	2.44	17.33	13.55	0.00	10.17	9.50	0.00	0.00	0.00	0.00							
2002	McKinneyNWR	02PLOT007	27	26	32.91	32.58	2.00	24.33	10.99	34.68	10.33	0.00	3.89	4.67	0.00	0.00	0.00	11.11							
2002	McKinneyNWR	02PLOT008	15	29	33.28	37.70	2.11	52.22	12.50	27.01	0.56	0.00	1.04	6.67	0.00	0.00	0.00	0.00							
2002	McKinneyNWR	02PLOT009	31	21	30.84	39.15	3.56	23.44	1.67	31.33	8.23	18.44	4.38	1.22	0.00	0.00	0.00	11.27							
2002	McKinneyNWR	02PLOT010	10	15	38.44	26.43	6.78	20.63	1.89	21.37	18.67	0.00	2.46	1.65	0.00	0.00	0.00	22.22							
2002	McKinneyNWR	02PLOT011	11	10	29.00	35.15	4.89	38.10	5.00	0.97	13.08	1.67	18.65	11.11	0.00	0.00	0.00	11.43							
2003	BarnIslandWMA	03PLOT029	33	27	30.78	21.18	4.78	6.11	5.89	65.56	2.22	9.11	8.33	2.78	0.00	0.00	0.00	0.00							
2003	BarnIslandWMA	03PLOT030	22	19	41.17	38.07	7.44	32.78	1.33	36.89	15.56	10.56	0.00	0.67	0.00	0.00	0.00	2.22							
2003	BarnIslandWMA	03PLOT031	7	7	34.89	29.64	6.22	42.78	3.89	47.78	2.78	0.00	1.67	1.11	0.00	0.00	0.00	0.00							
2003	BarnIslandWMA	03PLOT032	23	18	32.06	25.07	2.11	26.11	20.00	34.44	1.67	5.00	0.00	6.11	0.00	6.67	0.00	0.00							
2003	BarnIslandWMA	03PLOT033	4	10	36.42	14.07	3.56	7.78	16.67	50.00	4.44	4.44	1.67	4.44	1.11	9.44	0.00	0.00							
2003	BlackHallRiverMarsh	03PLOT037	26	23	45.42	39.98	8.56	88.00	7.00	0.00	1.11	2.22	0.00	0.00	0.00	0.00	0.00	1.67							
2003	BlackHallRiverMarsh	03PLOT038	27	32	45.89	52.76	7.22	77.78	0.00	11.11	10.89	0.00	0.00	0.22	0.00	0.00	0.00	0.00							
2003	EastRiverMarsh	03PLOT020	20	8	37.39	32.88	3.00	37.22	1.67	32.78	5.00	10.56	12.78	0.00	0.00	0.00	0.00	0.00							
2003	EastRiverMarsh	03PLOT034	20	16	38.67	50.82	6.11	40.56	33.89	11.11	5.00	5.56	0.00	1.11	0.00	2.78	0.00	0.00							
2003	GreatIslandWMA	03PLOT021	51	37	45.36	83.49	5.22	50.56	1.67	2.22	0.56	38.67	0.00	6.33	0.00	0.00	0.00	0.00							
2003	GreatIslandWMA	03PLOT022	38	26	42.86	42.82	5.11	53.89	1.11	30.56	0.00	10.56	0.00	2.78	1.11	0.00	0.00	0.00							
2003	GreatIslandWMA	03PLOT023	33	27	53.81	34.09	9.33	39.78	1.11	1.11	15.00	43.00	0.00	0.00	0.00	0.00	0.00	0.00							
2003	GreatIslandWMA	03PLOT024	40	40	53.19	29.42	9.22	51.11	15.00	0.00	3.33	22.22	5.56	0.00	2.78	0.00	0.00	0.00							
2003	GreatIslandWMA	03PLOT025	37	28	37.33	20.67	5.67	32.78	12.22	0.00	0.00	37.78	3.33	0.00	2.78	2.78	0.00	8.33							
2003	GreatIslandWMA	03PLOT026	36	27	41.67	34.30	8.00	60.25	16.75	0.00	0.00	5.88	3.13	0.00	14.00	0.00	0.00	0.00							
2003	GreatIslandWMA	03PLOT027	27	24	60.47	26.60	4.33	50.00	0.56	0.00	6.67	1.11	10.56	9.44	2.78	0.00	18.89	0.00							
2003	GreatIslandWMA	03PLOT028	27	23	43.92	46.98	8.11	75.22	0.56	0.22	0.11	0.00	17.22	2.78	3.89	0.00	0.00	0.00							
2003	HammockRiverMarsh	03PLOT039	26	32	67.81	25.18	11.56	5.78	17.44	0.00	56.78	7.78	0.00	0.00	12.22	0.00	0.00	0.00							
2003	HammockRiverMarsh	03PLOT040	32	32	66.44	11.62	9.33	0.00	2.78	0.00	96.67	0.56	0.00	0.00	0.00	0.00	0.00	0.00							
2003	HammonassetSP	03PLOT035	25	26	38.25	22.09	6.67	24.44	3.89	68.33	0.00	2.22	0.00	1.11	0.00	0.00	0.00	0.00							
2003	HammonassetSP	03PLOT036	21	39	39.92	43.53	2.33	36.11	10.56	13.33	0.00	26.67	9.33	4.00	0.00	0.00	0.00	0.00							
2004	BackRiverMarsh	04PLOT045	16	22	32.19	38.40	4.56	43.56	2.00	36.67	8.56	0.00	0.00	9.22	0.00	0.00	0.00	0.00							
2004	BackRiverMarsh	04PLOT046	18	23	37.33	24.80	7.00	22.00	0.00	47.00	15.56	0.00	1.11	3.22	0.00	0.00	0.00	11.11							
2004	EastRiverMarsh	04PLOT018	21	31	49.56	18.07	3.11	23.33	0.56	23.89	43.33	0.00	7.22	1.67	0.00	0.00	0.00	0.00							
