sitio;das;alt;slo;flo;pH;har;pho;nit;amm;oxy;bdo
1;0,3;934;6,176;84;7,9;45;1;20;0;122;27
2;2,2;932;3,434;100;8;40;2;20;10;103;19
3;10,2;914;3,638;180;8,3;52;5;22;5;105;35
4;18,5;854;3,497;253;8;72;10;21;0;110;13
5;21,5;849;3,178;264;8,1;84;38;52;20;80;62
6;32,4;846;3,497;286;7,9;60;20;15;0;102;53
7;36,8;841;4,205;400;8,1;88;7;15;0;111;22
8;49,1;792;3,258;130;8,1;94;20;41;12;70;81
9;70,5;752;2,565;480;8;90;30;82;12;72;52
10;99;617;4,605;1000;7,7;82;6;75;1;100;43
11;123,4;483;3,738;1990;8,1;96;30;160;0;115;27
12;132,4;477;2,833;2000;7,9;86;4;50;0;122;30
13;143,6;450;3,091;2110;8,1;98;6;52;0;124;24
14;152,2;434;2,565;2120;8,3;98;27;123;0;123;38
15;164,5;415;1,792;2300;8,6;86;40;100;0;117;21
16;185,9;375;3,045;1610;8;88;20;200;5;103;27
17;198,5;348;1,792;2430;8;92;20;250;20;102;46
18;211;332;2,197;2500;8;90;50;220;20;103;28
19;224,6;310;1,792;2590;8,1;84;60;220;15;106;33
20;247,7;286;2,197;2680;8;86;30;300;30;103;28
21;281,2;262;2,398;2720;7,9;85;20;220;10;90;41
22;294;254;2,708;2790;8,1;88;20;162;7;91;48
23;304,3;246;2,565;2880;8,1;97;260;350;115;63;164
24;314,7;241;1,386;2976;8;99;140;250;60;52;123
25;327,8;231;1,792;3870;7,9;100;422;620;180;41;167
26;357,9;214;1,792;3910;7,9;94;143;300;30;62;89
27;373,2;206;2,565;3960;8,1;90;58;300;26;72;63
28;394,7;195;1,386;4320;8,3;100;74;400;30;81;45
29;422;183;1,946;6770;7,8;110;45;162;10;90;42
30;453;172;1,099;6900;8,2;109;65;160;10;82;44
