ID;Scientific;French;English;code;code2
1;Cottus gobio;chabot;european bullhead;Cogo;CHA
2;Salmo trutta fario;truite fario;brown trout;Satr;TRU
3;Phoxinus phoxinus;vairon;minnow;Phph;VAI
4;Nemacheilus barbatulus;loche franche;stone loach;Neba;LOC
5;Thymallus thymallus;ombre;grayling;Thth;OMB
6;Telestes soufia agassizi;blageon;blageon;Teso;BLA
7;Chondrostoma nasus;hotu;nase;Chna;HOT
8;Chondostroma toxostoma;toxostome;toxostoma;Chto;TOX
9;Leuciscus leuciscus;vandoise;common dace;Lele;VAN
10;Leuciscus cephalus cephalus;chevaine;chub;Lece;CHE
11;Barbus barbus;barbeau fluviatile;barbel;Baba;BAR
12;Spirlinus bipunctatus;spirlin;spirlin;Spbi;SPI
13;Gobio gobio;goujon;gudgeon;Gogo;GOU
14;Esox lucius;brochet;pike;Eslu;BRO
15;Perca fluviatilis;perche fluviatile;perch;Pefl;PER
16;Rhodeus amarus;bouviere;bitterling;Rham;BOU
17;Lepomis gibbosus;perche-soleil;pumpkinseed;Legi;PSO
18;Scardinius erythrophtalmus;rotengle;rudd;Scer;ROT
19;Cyprinus carpio;carpe;carp;Cyca;CAR
20;Tinca tinca;tanche;tench;Titi;TAN
21;Abramis brama;breme;freshwater bream;Abbr;BCO
22;Ictalurus melas;poisson chat;black bullhead;Icme;PCH
23;Acerina cernua;gremille;ruffe;Acce;GRE
24;Rutilus rutilus;gardon;roach;Ruru;GAR
25;Blicca bjoerkna;breme bordeliere;silver bream;Blbj;BBO
26;Alburnus alburnus;ablette;bleak;Alal;ABL
27;Anguilla anguilla;anguille;eel;Anan;ANG
