CENSUS	YEAR	DATE	Data	DATE	SITE	BLOCK	FIELD	FIELDNEW	CHECK	AREA	SPTREAT	DEPTH	TUSW	GWFG	WHGO	CAGO	MALL	GADW	GWTE	CITE	UNTE	AMWI	NOPI	NOSH	RIDU	CANV	BUFF	WODU	RUDU	EUWI	UNDU	PBGB	SORA	COOT	COMO	AMBI	BCNH	GBHE	SNEG	GREG	WFIB	SACR	AMAV	BNST	BBPL	KILL	LBCU	GRYE	LEYE	LBDO	SNIP	DUNL	WESA	LESA	PEEP	RUFF	UNSH	RBGU	HEGU	CAGU	GUSP	WATERFWL	LLWADERS	SHOREBDS	AQBIRDS
6	2	24-Jan-95	13.00	754	4mile	1	6	106	0	3.38	rlfld	83.9	0	0	0	0	0	0	0	0	0	0.591715976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0	0	0.591715976
11	2	13-Mar-95	15.00	802	4mile	1	6	106	0	3.38	rlfld	73.9	0	0	0	0	1.183431953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.183431953	0	0	1.183431953
6	2	24-Jan-95	13.00	754	4mile	1	5	105	0	7.66	rlfld	54.1	0	0	0	0	1.958224543	0	0	0	0	0	0.522193211	0.261096606	0	0	0	0	0	0	0	0	0	6.527415144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74151436	0	0	9.268929504
11	2	13-Mar-95	15.00	802	4mile	1	5	105	0	7.66	rlfld	53.1	0	0	0	0	0.261096606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569190601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261096606	0	0	4.830287206
6	2	24-Jan-95	13.00	754	4mile	1	3	103	0	19.14	rlfld	44.2	0	0	0	0	0.313479624	0.313479624	0	0	0	0	0	0.470219436	0	0	0	0.104493208	0	0	0	0.052246604	0	3.761755486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.201671891	0	0	5.015673981
11	2	13-Mar-95	15.00	802	4mile	1	3	103	0	19.14	rlfld	43.2	0	0	0	0	0.104493208	0	0	0.156739812	0	0	0	0.208986416	0	0	0	0	0.052246604	0	0	0.052246604	0	1.567398119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52246604	0	0	2.142110763
11	2	13-Mar-95	15.00	802	4mile	1	8	108	0	3.36	fld	41.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	24-Jan-95	13.00	754	4mile	1	4	104	0	4.52	rlfld	41.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0	18.5840708	0	0	0	0	0	0	0.663716814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663716814	0	19.46902655
7	2	29-Jan-95	13.00	759	4mile	1	5	105	0	7.66	rlfld	40.1	0	0	0	0	5.352480418	0	0	0	0	0	0.391644909	0	0	0	0	0	0	0	0	0	0	4.830287206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.744125326	0	0	10.57441253
6	1	27-Jan-94	13.00	392	4mile	1	8	108	0	3.36	fld	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2	13-Mar-95	15.00	802	4mile	1	4	104	0	4.52	rlfld	39.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2	29-Jan-95	13.00	759	4mile	1	6	106	0	3.38	rlfld	38.9	0	0	0	0	0.591715976	0	0	0	0	0	0.591715976	0	0	0	0	0	0	0	0	0	0	1.775147929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.183431953	0	0	2.958579882
3	2	14-Dec-94	12.00	713	4mile	1	8	108	0	3.36	fld	38.8	0	0	0	0	0	0	0	0	0	0	0.595238095	0	0	0	0	0	0	0	0	0.297619048	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595238095	0	0	7.142857143
4	2	20-Dec-94	12.00	719	4mile	1	8	108	0	3.36	fld	38.8	0	0	0	0	1.785714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.77380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.785714286	0	0	17.55952381
5	2	30-Dec-94	12.00	729	4mile	1	8	108	0	3.36	fld	38.8	0	0	0	0	0	0	0	0	0	0.297619048	0	0.595238095	0	0	0	0	0	0	0	0	0	17.85714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892857143	0	0	18.75
1	2	18-Nov-94	11.00	687	4mile	1	8	108	0	3.36	fld	37.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595238095	0	38.98809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.58333333
3	1	07-Dec-93	12.00	341	4mile	1	14	114	0	7.75	fld	37.7	0	0	0	0	3.225806452	0.64516129	17.41935484	0	0	2.064516129	13.03225806	5.806451613	0	0	0	0	0	0	5	0	0	8.903225806	0	0	0	0	0	0.129032258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.83870968	0.129032258	0	51.87096774
2	2	02-Dec-94	12.00	701	4mile	1	8	108	0	3.36	fld	36.8	0	0	0	0	1.785714286	2.380952381	0	0	0	2.083333333	0	4.166666667	0	0	0	0	0	0	0	0.595238095	0	9.523809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.41666667	0	0	20.53571429
7	1	10-Feb-94	14.00	406	4mile	1	14	114	0	7.75	fld	35.7	0	0	0	0	1.290322581	0	0	0	0	0.258064516	1.935483871	0.516129032	0	0	0	0	0	0	0	0	0	14.70967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18.70967742
3	1	07-Dec-93	12.00	341	4mile	1	8	108	0	3.36	fld	35	0	0	0	0	1.785714286	0	0	0	0	0	0	2.380952381	0	0	0	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666667	0	0	22.91666667
