RECORD	DAY	MONTH	YEAR	LOCATION	AGE	SEX	PERIOD	mgconsumed				
1	5	1	97	0	0	0	.00	.07		
2	5	1	97	0	0	0	.00	.16				
3	5	1	97	0	0	0	.00	.25				
4	5	1	97	0	0	0	.00	.07				
5	5	1	97	0	0	0	.00	.14				
6	5	1	97	0	0	0	.00	.26				
7	5	1	97	0	0	0	.00	.10		
8	6	2	97	0	0	0	1.00	.21		
9	6	2	97	1	0	0	1.00	.11			
10	6	2	97	0	0	0	1.00	.09			
11	6	2	97	0	0	0	1.00	.11				
12	6	2	97	1	0	0	1.00	.19			
13	6	2	97	0	0	0	1.00	.22		
14	6	2	97	1	0	0	1.00	.01		
15	20	2	97	1	0	0	1.00	.29				
16	20	2	97	1	0	0	1.00	.25				
17	20	2	97	1	0	0	1.00	.12				
18	20	2	97	1	0	0	1.00	.21				
19	20	2	97	1	0	0	1.00	.28				
20	20	2	97	0	0	0	1.00	.04				
21	20	2	97	1	0	0	1.00	.27				
22	20	2	97	1	0	0	1.00	.25				
23	20	2	97	1	0	0	1.00	.18				
24	20	2	97	1	0	0	1.00	.16				
25	20	2	97	1	0	0	1.00	.10				
26	20	2	97	1	0	0	1.00	.10				
27	20	2	97	1	0	0	1.00	.25				
28	20	2	97	0	0	0	1.00	.18				
29	7	3	97	1	0	0	1.00	.20				
30	7	3	97	0	0	0	1.00	.09				
31	7	3	97	1	0	0	1.00	.05				
32	7	3	97	1	0	0	1.00	.10				
33	7	3	97	0	0	0	1.00	.18				
34	7	3	97	0	0	0	1.00	.18				
35	7	3	97	0	0	0	1.00	.09				
36	7	3	97	0	0	0	1.00	.12				
37	7	3	97	0	0	0	1.00	.12				
38	16	3	97	1	0	0	1.00	.20				
39	16	3	97	1	0	0	1.00	.23				
40	16	3	97	0	0	0	1.00	.37				
41	16	3	97	0	0	0	1.00	.24				
42	16	3	97	0	0	0	1.00	.21				
43	16	3	97	0	0	0	1.00	.32				
44	16	3	97	0	0	0	1.00	.40				
45	16	3	97	1	0	0	1.00	.09				
46	16	3	97	1	0	0	1.00	.32				
47	16	3	97	1	0	0	1.00	.14				
48	16	3	97	1	0	0	1.00	.29				
49	16	3	97	1	0	0	1.00	.29				
50	16	3	97	1	0	0	1.00	.22				
51	16	3	97	1	0	0	1.00	.22				
57	2	4	97	1	2	0	1.00	.28				
59	2	4	97	1	2	0	1.00	.22				
62	2	4	97	1	2	0	1.00	.10				
65	16	5	97	1	2	0	2.00	.23				
66	16	5	97	1	2	0	2.00	.17				
68	16	5	97	0	2	0	2.00	.61				
70	16	5	97	0	2	0	2.00	.11				
74	16	5	97	0	2	0	2.00	.28				
81	17	6	97	1	2	0	2.00	.08				
90	30	6	97	0	2	0	2.00	.33				
93	30	6	97	0	2	0	2.00	.16				
101	30	6	97	0	2	0	2.00	.17				
109	15	7	97	0	2	0	2.00	.05				
111	15	7	97	0	2	0	2.00	.13				
124	30	7	97	0	2	0	2.00	.07				
125	30	7	97	0	2	0	2.00	.05				
126	30	7	97	0	2	0	2.00	.23				
127	29	8	97	0	2	0	2.00	.10				
128	29	8	97	0	2	0	2.00	.14				
129	29	8	97	0	2	0	2.00	.05				
130	29	8	97	0	2	0	2.00	.13				
131	29	8	97	0	2	0	2.00	.17				
132	29	8	97	0	2	0	2.00	.12				
133	29	8	97	0	2	0	2.00	.48				
143	12	9	97	0	2	0	.00	.11				
172	13	10	97	0	2	0	.00	.05				
174	13	10	97	0	2	0	.00	.05				
188	27	10	97	0	2	0	.00	.14				
192	27	10	97	0	2	0	.00	.05				
197	11	11	97	0	2	0	.00	.13				
