GrupoEdad;CasosH;PorcentajeH;TasaH;CasosM;PorcentajeM;TasaM;CasosT;PorcentajeT;TasaT
(00 a 04);36;0,31;1,63;28;2,42;1,33;64;0,52;1,48
(05 a 09);25;0,22;1,15;24;2,07;1,15;49;0,39;1,15
(10 a 14);102;0,89;4,64;26;2,25;1,24;128;1,01;2,98
(15 a 17);732;6,4;54,7;91;7,86;7,1;823;6,54;31,41
(18 a 19);882;7,71;98,69;74;6,39;8,67;956;7,58;54,72
(20 a 24);2396;20,94;109,78;188;16,23;9,03;2584;20,5;60,6
(25 a 29);1873;16,37;95,46;164;14,16;8,51;2037;16,18;52,37
(30 a 34);1664;14,55;97,87;144;12,44;8,1;1808;14,36;51,97
(35 a 39);1079;9,43;70,75;105;9,07;6,49;1184;9,4;37,68
(40 a 44);801;7;58,1;88;7,6;5,9;889;7,06;30,98
(45 a 49);654;5,72;47,61;72;6,22;4,78;726;5,76;25,21
(50 a 54);457;3,99;36,69;55;4,75;4,01;512;4,06;19,56
(55 a 59);304;2,66;30,15;28;2,42;2,49;332;2,63;15,55
(60 a 64);196;1,71;25,04;30;2,59;3,42;226;1,79;13,62
(65 a 69);108;0,94;18,5;13;1,12;1,95;121;0,96;9,67
(70 a 74);60;0,52;14,77;13;1,12;2,68;73;0,58;8,19
(75 a 79);41;0,36;13,98;9;0,78;2,36;50;0,4;7,41
(80 y más);30;0,26;10,82;6;0,52;1,53;36;0,29;5,38
