;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
COLOMBIA. Necesidades Básicas Insatisfechas - NBI, por total, cabecera y resto, según municipio y nacional.;;;;;;;;;;
 A JUNIO 2012;;;;;;;;;;
RESULTADOS CENSO GENERAL 2005;;;;;;;;;;
;;;;;;;;;;
Cod Depto;Nombre Departamento;Cod Mpio;Nombre Municipio;Personas en NBI;;;;;;Nota Aclaratoria
;;;;Cabecera ;;Resto ;;Total ;;
;;;;Prop (%);cve (%);Prop (%);cve (%);Prop (%);cve (%);
05;ANTIOQUIA;001;MEDELLIN;12,33;2,71;18,28;13,47;12,42;2,66;
05;ANTIOQUIA;002;ABEJORRAL;30,26;-;35,47;-;33,85;-;
05;ANTIOQUIA;004;ABRIAQUI;11,52;-;35,90;-;28,54;-;
05;ANTIOQUIA;021;ALEJANDRIA;24,03;-;42,25;-;33,14;-;
05;ANTIOQUIA;030;AMAGA;21,59;6,14;33,01;7,28;27,07;4,96;
05;ANTIOQUIA;031;AMALFI;25,67;4,81;68,81;3,45;45,29;2,81;
05;ANTIOQUIA;034;ANDES;21,28;5,26;38,18;5,90;30,49;4,36;
05;ANTIOQUIA;036;ANGELOPOLIS;20,99;-;32,13;5,66;25,97;3,13;
05;ANTIOQUIA;038;ANGOSTURA;25,57;-;61,04;-;55,16;-;
05;ANTIOQUIA;040;ANORI;41,61;-;56,24;-;48,14;-;
05;ANTIOQUIA;042;SANTAFE DE ANTIOQUIA;29,38;4,78;66,68;5,22;44,10;3,66;
05;ANTIOQUIA;044;ANZA;30,34;-;55,25;-;51,34;-;
05;ANTIOQUIA;045;APARTADO;21,18;9,78;44,26;5,39;24,53;7,36;
05;ANTIOQUIA;051;ARBOLETES;44,74;2,57;90,84;1,52;72,40;1,31;
05;ANTIOQUIA;055;ARGELIA;25,91;-;47,92;-;38,97;-;
05;ANTIOQUIA;059;ARMENIA;25,03;-;47,47;-;39,83;-;
05;ANTIOQUIA;079;BARBOSA;12,29;8,78;29,16;6,93;21,73;5,64;
05;ANTIOQUIA;086;BELMIRA;19,61;-;32,58;-;29,05;-;
05;ANTIOQUIA;088;BELLO;9,46;11,92;39,91;6,13;10,58;10,30;
05;ANTIOQUIA;091;BETANIA;23,34;-;36,06;-;31,25;-;
