DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P1079	P9010	P9025	P9025S1	P9025S2	P9030	P9040	P9050	P5230	P9090	P784	P784S1	P784S1A1	P784S2	P784S2A1	P784S4	P784S4A1	P5191	P5191S1	P5191S1A1	P5191S2	P5191S2A1	P8706	P1072	P1072S1	P1072S2	P1077	P1077S1	P1077S2	P1077S3	P1077S4	P1077S5	P1077S6	P1077S7	P1077S8	P1077S9	P1077S10	P1077S11	P1077S12	P1077S13	P1077S14	P1077S15	P1077S15A1	P1077S16	P1077S16A1	P1077S17	P1077S18	P1077S19	P1077S20	P1077S21	P1077S22	P1077S23	P1076	P1075	P1075S1	P1075S2	P1074	P1073	P794	P795	P795S1	P795S1A1	P795S1A2	P795S2	P795S3	P795S4	P796	P797	P797S1	P797S2	P797S3	P797S4	P797S5	P797S5A1	P8718	P5680	P8724	P5681	P5682	P5682S1	P5676	P5676S1	P5676S2	P5676S3	P5676S4	P5676S5	P5676S6	P5676S7	P5676S8	P5676S9	P5676S10	P5676S11	P5676S13	P5677	LLAVEHOG	FEX_C
2974717	1	1	1	2	1		2	2	2	1	3	1	2		2		1	2	2			1	1200000	2		2		1	0		2	1	1	1	2	2	1	2	2	2	2	2	2	2	2		2		2	2	1	2	2	2	2	4	2			1	2	2					1			2										1	2				2	3	3	2	2	3	3	3	3	3	3	3	2	29747171	614.928874130467
2974718	1	1	1	1	2		2	2	2	2	2	2	2		2		2		2							2		4	0		2	1	1	2	2	2	1	2	2	2	2	1	2	2	2		2		2	2	2	2	2	2	2	1	2			2	2	2		1	1	2				2										2	2				3	3	2	2	2	2	2	3	3	3	3	3	2	29747181	994.321930268318
2974719	1	1	1	1	1		2	2	2	2	2	2	2		2		2		2							2		5	6		1	1	1	2	2	2	1	2	1	2	2	1	2	2	2		2		2	2	1	2	2	1	2		1	2	1			1		1	1	1				1					1			2		2	2				3	3	3	3	2	3	3	3	3	3	3	3	2	29747191	432.251901607193
2974720	1	1	1	1	1		2	2	2	3	3	1	1		2		2		2							1		2	0		2	1	1	2	2	2	1	2	2	2	2	1	2	2	2		2		2	1	1	2	2	2	2	2	2			2	2	2					1			2										2	2				2	3	1	1	2	2	3	2	3	1	2	3	3	29747201	256.398378950337
2974721	1	1	1	1	2		1	2	3	2	1	1	2		2		1	1	2			1	720000	2		2		3	0		2	1	1	2	2	2	1	2	2	2	2	1	2	2	2		2		2	2	2	2	2	2	2	3	2			3	2	2					1			2										2	2				3	3	3	3	3	2	3	2	3	3	3	2	3	29747211	256.398378950337
2974722	1	1	1	2	1		2	2	2	1	1	2	3		2		2		2							2		0	0		1	1	1	2	2	2	1	2	1	2	2	2	2	2	2		2		2	1	1	2	2	2	2	2	2			5	2	2					1			1				1				2		1	2				3	3	3	3	3	3	3	3	3	3	4	3	1	29747221	1414.73505760439
2974723	1	1	1	1	1		2	2	2	2	2	2	2		2		2		2							2		7	0		1	1	1	1	2	2	1	1	1	1	2	1	2	2	2		2		2	2	1	2	1	1	1		1	1	2			2					1			2										2	2				3	3	3	3	3	2	3	3	3	3	3	3	1	29747231	984.336411113477
2974723	2	1	2	1	1		2	2	2	2	2	2	2		2		2		2							2		7	0		2	1	1	2	2	2	1	1	2	1	2	1	2	2	2		2		2	2	2	2	1	2	2		1	1	2			2					1			2										2	2				3	3	3	3	3	3	2	3	3	3	3	3	2	29747232	984.336411113477
2974724	1	1	1	1	1		2	2	2	1	1	2	3		2		2		2							2		6	0		1	1	1	2	2	2	1	1	2	1	2	1	2	2	2		1	1	1	2	2	2	1	2	2		1	1	2			2					1			2										2	2				2	3	3	3	3	3	3	3	3	3	3	3	2	29747241	502.57664231637
2974726	1	1	1	1	1		1	2	2	2	2	1	3		2		2		2							2		14	0		1	1	1	1	2	2	1	2	1	2	1	1	2	2	1	1	2		2	2	1	1	1	1	2		1	1	1			2					1			2										2	2				3	3	2	3	3	3	2	3	4	2	3	3	1	29747261	2400.71354118362
