"Date";"Time";"Hour";"Temp Out";"Hi Temp";"Low Temp";"Out Hum";"Dew Pt.";"Wind Speed";"Wind Dir";"Wind Dir 2";"Wind Run";"Hi Speed";"Hi Dir";"Wind Chill";"Heat Index";"THW Index";"THSW Index";"Bar";"Rain";"Rain Rate";"Solar Rad.";"Solar Energy";"Hi Solar Rad.";"Heat D-D";"Cool D-D";"In Temp";"In Hum";"In Dew";"In Heat";"In EMC";"In Air Density";"ET";"Wind Samp";"Wind Tx";"ISS Recept";"Arc. Int."
12/04/2015;12:15 AM;0;16,8;17;16,8;100;16,8;1,6;"ESE";112,5;0,4;6,4;"E";16,8;17,2;17,2;15,4;1018,5;0;0;0;0;0;0,016;0;18,5;79;14,8;18,9;16,22;0,0747;0;348;1;100;15
12/04/2015;12:30 AM;0;16,7;16,8;16,6;100;16,7;0;"ESE";112,5;0;1,6;"ESE";16,7;17,1;17,1;15,3;1018,4;0;0;0;0;0;0,017;0;18,4;79;14,7;18,7;16,24;0,0748;0;350;1;100;15
12/04/2015;12:45 AM;0;16,7;16,8;16,7;100;16,7;0;"ESE";112,5;0;3,2;"ESE";16,7;17,2;17,2;15,4;1018,2;0;0;0;0;0;0,017;0;18,2;79;14,5;18,6;16,24;0,0748;0;351;1;100;15
12/04/2015;01:00 AM;1;16,5;16,7;16,5;100;16,5;0;"ESE";112,5;0;3,2;"ESE";16,5;16,9;16,9;15,2;1018,1;0;0;0;0;0;0,019;0;18,1;79;14,4;18,4;16,23;0,0748;0;351;1;100;15
12/04/2015;01:15 AM;1;16,6;16,6;16,5;100;16,6;0;"ESE";112,5;0;3,2;"ESE";16,6;17;17;15,2;1018;0;0;0;0;0;0,019;0;18;79;14,3;18,3;16,23;0,0749;0;347;1;100;15
12/04/2015;01:30 AM;1;16,4;16,6;16,4;100;16,4;1,6;"ESE";112,5;0,4;4,8;"ESE";16,4;16,9;16,9;15,1;1017,9;0;0;0;0;0;0,02;0;17,9;79;14,2;18,2;16,22;0,0749;0;350;1;100;15
12/04/2015;01:45 AM;1;16,7;16,7;16,4;100;16,7;6,4;"E";90;1,61;11,3;"E";16,7;17,1;17,1;15,3;1017,6;0;0;0;0;0;0,017;0;17,9;79;14,2;18,2;16,22;0,0749;0;350;1;100;15
12/04/2015;02:00 AM;2;16,5;16,7;16,5;100;16,5;1,6;"E";90;0,4;6,4;"E";16,5;16,9;16,9;15,2;1017,5;0;0;0;0;0;0,019;0;17,9;79;14,2;18,2;16,22;0,0748;0;350;1;100;15
12/04/2015;02:15 AM;2;16,6;16,6;16,5;100;16,6;0;"ENE";67,5;0;1,6;"ENE";16,6;17;17;15,2;1017,4;0;0;0;0;0;0,019;0;17,9;79;14,2;18,2;16,22;0,0749;0;348;1;100;15
12/04/2015;02:30 AM;2;16,4;16,6;16,4;100;16,4;0;"ENE";67,5;0;3,2;"ENE";16,4;16,9;16,9;15,1;1017,2;0;0;0;0;0;0,02;0;17,8;79;14,1;18,1;16,21;0,0749;0;351;1;100;15
12/04/2015;02:45 AM;2;16,3;16,5;16,3;100;16,3;0;"ENE";67,5;0;4,8;"ENE";16,3;16,7;16,7;14,9;1017;0;0;0;0;0;0,021;0;17,8;79;14,1;18;16,21;0,0749;0;348;1;100;15
12/04/2015;03:00 AM;3;16;16,3;16;100;16;0;"ENE";67,5;0;4,8;"WSW";16;16,4;16,4;14,6;1016,7;0;0;0;0;0;0,024;0;17,7;79;14;17,9;16,21;0,0749;0;351;1;100;15
12/04/2015;03:15 AM;3;15,7;16;15,7;100;15,7;0;"SSW";202,5;0;3,2;"W";15,7;16,1;16,1;14,2;1016,5;0;0;0;0;0;0,027;0;17,7;79;14;17,9;16,2;0,0749;0;350;1;100;15
12/04/2015;03:30 AM;3;15,8;15,8;15,7;99;15,7;1,6;"W";270;0,4;9,7;"W";15,8;16,2;16,2;14,3;1016,2;0;0;0;0;0;0,026;0;17,6;79;13,9;17,8;16,2;0,0749;0;350;1;100;15
12/04/2015;03:45 AM;3;15,5;15,8;15,5;98;15,2;0;"W";270;0;4,8;"W";15,5;15,8;15,8;13,9;1016,3;0;0;0;0;0;0,03;0;17,5;79;13,8;17,7;16,19;0,0749;0;349;1;100;15
12/04/2015;04:00 AM;4;15,2;15,5;15,2;98;14,9;0;"WSW";247,5;0;3,2;"WSW";15,2;15,5;15,5;13,6;1016,4;0;0;0;0;0;0,032;0;17,3;79;13,6;17,4;16,17;0,075;0;349;1;100;15
12/04/2015;04:15 AM;4;15,5;15,5;15,2;97;15;0;"WSW";247,5;0;3,2;"WSW";15,5;15,8;15,8;13,9;1016,4;0;0;0;0;0;0,03;0;17,1;79;13,4;17,2;16,16;0,075;0;352;1;100;15
12/04/2015;04:30 AM;4;15,5;15,6;15,5;97;15;0;"W";270;0;3,2;"W";15,5;15,8;15,8;13,9;1016,4;0;0;0;0;0;0,03;0;17;79;13,3;17,1;16,15;0,0751;0;351;1;100;15
12/04/2015;04:45 AM;4;15,9;15,9;15,5;96;15,3;0;"W";270;0;3,2;"W";15,9;16,2;16,2;14,3;1016,4;0;0;0;0;0;0,025;0;16,9;79;13,2;17;16,15;0,0751;0;351;1;100;15
12/04/2015;05:00 AM;5;16;16;15,8;95;15,2;1,6;"W";270;0,4;3,2;"W";16;16,3;16,3;14,4;1016,4;0;0;0;0;0;0,024;0;16,8;79;13,1;16,8;16,14;0,0752;0;349;1;100;15
12/04/2015;05:15 AM;5;15,7;16,1;15,7;98;15,4;4,8;"E";90;1,21;9,7;"E";15,7;16;16;14,2;1016,7;0;0;0;0;0;0,027;0;16,7;79;13,1;16,8;16,13;0,0752;0;350;1;100;15
12/04/2015;05:30 AM;5;15,9;15,9;15,7;99;15,8;4,8;"E";90;1,21;8;"E";15,9;16,3;16,3;14,4;1016,9;0;0;0;0;0;0,025;0;16,7;79;13,1;16,8;16,13;0,0752;0;348;1;100;15
12/04/2015;05:45 AM;5;16,1;16,1;15,9;99;15,9;1,6;"E";90;0,4;4,8;"ENE";16,1;16,4;16,4;14,6;1017,1;0;0;0;0;0;0,024;0;16,7;79;13,1;16,8;16,13;0,0752;0;349;1;100;15
12/04/2015;06:00 AM;6;15,9;16,1;15,9;99;15,8;0;"E";90;0;3,2;"E";15,9;16,3;16,3;14,4;1017,5;0;0;0;0;0;0,025;0;16,7;79;13;16,7;16,13;0,0753;0;351;1;100;15
12/04/2015;06:15 AM;6;16,1;16,1;15,9;100;16,1;0;"E";90;0;3,2;"E";16,1;16,4;16,4;14,6;1017,9;0;0;0;0;0;0,024;0;16,7;79;13;16,7;16,13;0,0753;0;350;1;100;15
