RADICADO,FECHA,HORA,DÍA DE LA SEMANA,CLASE DE VEHICULO,TIPO DE SERVICIO,TIPO DE VICTIMA,SEXO,ESTADO DE BEODEZ,RESULTADO DE BEODEZ,GRAVEDAD,CLASE DE ACCIDENTE,CAUSA,DIRECCIÓN,BARRIO,AREA,Coordenadas
2181714,06/30/2018,2:55 p.m.,sábado,TRACTOCAMION,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 50  Sur,LAS VEGAS,Urbana,
2181733,06/30/2018,9:50 a.m.,sábado,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 50 Calle 46  Sur,LAS VEGAS,Urbana,"(6.16131219, -75.603198185)"
2181733,06/30/2018,9:50 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 50 Calle 46  Sur,LAS VEGAS,Urbana,"(6.16131219, -75.603198185)"
2181717,06/30/2018,10:45 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 37  Sur Carrera 36,MESA,Urbana,"(6.168044613, -75.583236971)"
2181717,06/30/2018,10:45 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 37  Sur Carrera 36,MESA,Urbana,"(6.168044613, -75.583236971)"
2181713,06/30/2018,1:30 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Choque,Transitar entre vehiculos,Carrera 48 Calle 31  Sur,LAS VEGAS,Urbana,"(6.178537792, -75.588851894)"
2181713,06/30/2018,1:30 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Choque,Transitar entre vehiculos,Carrera 48 Calle 31  Sur,LAS VEGAS,Urbana,"(6.178537792, -75.588851894)"
2181718,06/30/2018,2:29 a.m.,sábado,AUTOMOVIL,PUBLICO,Conductor,Sin Registro,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 50 Calle 36  Sur,LAS VEGAS,Urbana,
2181718,06/30/2018,2:29 a.m.,sábado,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 50 Calle 36  Sur,LAS VEGAS,Urbana,
2181726,06/30/2018,11:30 a.m.,sábado,CAMIONETA,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 37  Sur Carrera 42,ZONA CENTRO,Urbana,"(6.17029993, -75.586935484)"
2181718,06/30/2018,2:29 a.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 50 Calle 36  Sur,LAS VEGAS,Urbana,
2181714,06/30/2018,2:55 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 50  Sur,LAS VEGAS,Urbana,
2181726,06/30/2018,11:30 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 37  Sur Carrera 42,ZONA CENTRO,Urbana,"(6.17029993, -75.586935484)"
2181703,06/30/2018,12:20 a.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 46 A Sur,LAS VEGAS,Urbana,"(6.16131219, -75.603198185)"
2181703,06/30/2018,12:20 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 46 A Sur,LAS VEGAS,Urbana,"(6.16131219, -75.603198185)"
2181702,06/30/2018,11:00 a.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 32 B Sur,LAS VEGAS,Urbana,"(6.178248378, -75.591688281)"
2181702,06/30/2018,11:00 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 32 B Sur,LAS VEGAS,Urbana,"(6.178248378, -75.591688281)"
2181711,06/30/2018,10:00 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Caida Ocupante,Impericia en el manejo,Carrera 48 Calle 48  Sur,LAS VEGAS,Urbana,"(6.164595282, -75.601380414)"
