ID,NOMBRE BIBLIOTECA,DIRECCIÓN,TELEFONO,TIPO,COMUNA,BARRIO,HORARIO,LINK_DETALLE,CORREO,POINT_Y,POINT_X
2,Parque Biblioteca Gabriel García Márquez,CR 80 104 04,477 67 27,Parque Biblioteca,Doce de Octubre,Santander,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-doce-de-octubre/,docedeoctubre@bibliotecasmedellin.gov.co,6.304412644000024,"(6.304412644, -75.577738202)"
25,Archivo Histórico de Medellín,CL 50 43 64,385 73 46 / 512 65 47,Archivo Histórico,La Candelaria,La Candelaria,Lunes a jueves: 7:30 am-12:00 m y 1:30-5:30 pm. Viernes: 7:30 am-12:00 m y 1:30 a 4:30 pm,http://bibliotecasmedellin.gov.co/archivo-historico-de-medellin/,archivo.historico@medellin.gov.co,6.247632202000034,"(6.247632202, -75.563395661)"
32,Centro de Documentación especializado en deporte INDER Medellín,"CL 48 73 10, Puerta No. 36 dentro del Estadio Atanasio Girardot",3699000 opción 1 ext. 332,Centro de documentación,Laureles Estadio,Estadio,Lunes a jueves: 8:00 - 12:00m y 1:00 - 5:00 pm.  Viernes: 8:00 - 12:00m y 1:00 - 4:00 pm,http://www.inder.gov.co/index.php/Centro-de-documentacion/centro-de-documentacion.html,atencion.ciudadano@inder.gov.co,6.256186504000027,"(6.256186504, -75.590901253)"
29,Centro de Recursos para la Activación de la Memoria CRAM,CL 51 36 66 Piso 3 Parque Bicentenario ,383 40 01 / 383 11 77,Centro de documentación,La Candelaria,Boston,Lunes a viernes: 9:00 am-7:00 pm. Sábado: 10:00 am-4:00 pm,http://www.museocasadelamemoria.org/Proyectos/CRAM,cdcasadelamemoria@bibliotecasmedellin.gov.co,6.245320165000066,"(6.245320165, -75.556347596)"
8,Parque Biblioteca Tomás Carrasquilla,CR 80 82 60,385 73 03 / 385 73 42,Parque Biblioteca,Robledo,El Diamante,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-tomas-carrasquilla-la-quintana/,quintana@bibliotecasmedellin.gov.co,6.285297187000026,"(6.285297187, -75.583623322)"
24,Biblioteca Pública Escolar Granizal,CR 36B 102C 54,528 94 95 / 529 03 06,Biblioteca de proximidad,Popular,Granizal,Lunes a viernes: 9:00 am - 6:00 pm. Sábado 9:00 am - 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-escolar-granizal/,granizal@bibliotecasmedellin.gov.co ,6.292279801000063,"(6.292279801, -75.544809152)"
18,Biblioteca Pública Corregimental Santa Elena,Parque Central de Santa Elena,538 02 22,Biblioteca de proximidad,Corregimiento de Santa Elena,Santa Elena Sector Central,Lunes a sábado: 9:00 am - 6:00 pm. Domingo: 11:00 am - 3:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-corregimental-santa-elena/,santaelena@bibliotecasmedellin.gov.co,6.209280733000071,"(6.209280733, -75.497520255)"
14,Filial Juan Zuleta Ferrer,CR 49A 80 46,211 82 32,Biblioteca Pública Piloto y filiales,Aranjuez,Brasilia,Lunes a viernes: 10:00 am - 5:45 pm. Sábado: 10:00 am - 4:45 pm,http://www.reddebibliotecas.org.co/bibliotecas/bpp-filial-juan-zuleta-ferrer-campo-vald%C3%A9s,bjzuletaferrer@bibliotecapiloto.gov.co,6.274005957000043,"(6.274005957, -75.558432651)"
26,Centro de Documentación Departamento Administrativo de Planeación ,"CL 44 52 165. Piso 3, oficina 305",385 52 18,Centro de documentación,La Candelaria,Centro Administrativo,Lunes a jueves: 7:30 am-12:00 m y 1:30-5:30 pm. Viernes: 7:30 am-12:00 m y 1:30 a 4:30 pm,http://bibliotecasmedellin.gov.co/centro-documentacion-de-planeacion/,cdplaneacion@bibliotecasmedellin.gov.co,6.244861700000058,"(6.2448617, -75.573758553)"
6,Parque Biblioteca Belén,CR 76 18A 19,385 67 96,Parque Biblioteca,Belén,La Gloria,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 10:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-belen/,belen@bibliotecasmedellin.gov.co,6.223874524000053,"(6.223874524, -75.598327271)"
