sector;ambito;ocupados;ano
Comercio, hoteles.;En el país;5988;2018
Comercio, hoteles.;En el país;5972;2019
Servicios sociales;En el país;4311;2018
Servicios sociales;En el país;4468;2019
Agricultura y ganadería;En el país;3712;2018
Agricultura y ganadería;En el país;3342;2019
Comercio, hoteles.;En Medellín;559;2018
Comercio, hoteles.;En Medellín;520;2019
Servicios sociales;En Medellín;371;2018
Servicios sociales;En Medellín;376;2019
Agricultura y ganadería;En Medellín;349;2018
Agricultura y ganadería;En Medellín;345;2019
