Código DANE Municipio;Tipo División Geográfica;Nombre División Geográfica;Grupo Edad;Total 2016;Hombres 2016;Mujeres 2016;Total 2017;Hombres 2017;Mujeres 2017;Total 2018;Hombres 2018;Mujeres 2018;Total 2019;Hombres 2019;Mujeres_2019;Total 2020;Hombres 2020;Mujeres 2020
05001;Comuna;Popular;0-4;11,898;6,078;5,820;11,799;6,027;5,772;11,684;5,970;5,714;11,684;5,964;5,720;11,596;5,917;5,679
05001;Comuna;Popular;5-9;11,789;5,991;5,798;11,707;5,941;5,766;11,624;5,894;5,730;11,664;5,909;5,755;11,607;5,880;5,727
05001;Comuna;Popular;10-14;11,112;5,638;5,474;11,113;5,636;5,477;11,139;5,636;5,503;11,275;5,683;5,592;11,336;5,697;5,639
05001;Comuna;Popular;15-19;11,254;5,620;5,634;11,056;5,535;5,521;10,888;5,481;5,407;10,972;5,607;5,365;10,988;5,664;5,324
05001;Comuna;Popular;20-24;10,910;5,397;5,513;10,779;5,311;5,468;10,658;5,218;5,440;10,555;5,114;5,441;10,423;5,021;5,402
05001;Comuna;Popular;25-29;11,008;5,286;5,722;10,956;5,285;5,671;10,816;5,237;5,579;10,630;5,132;5,498;10,475;5,050;5,425
05001;Comuna;Popular;30-34;9,698;4,422;5,276;10,037;4,616;5,421;10,398;4,827;5,571;10,648;4,953;5,695;10,823;5,051;5,772
05001;Comuna;Popular;35-39;8,889;3,955;4,934;8,971;3,990;4,981;9,058;4,029;5,029;9,140;4,051;5,089;9,336;4,152;5,184
05001;Comuna;Popular;40-44;7,771;3,437;4,334;7,859;3,479;4,380;8,030;3,558;4,472;8,137;3,586;4,551;8,250;3,628;4,622
05001;Comuna;Popular;45-49;8,585;3,880;4,705;8,280;3,732;4,548;7,948;3,566;4,382;7,610;3,382;4,228;7,439;3,290;4,149
05001;Comuna;Popular;50-54;8,276;3,749;4,527;8,382;3,804;4,578;8,426;3,829;4,597;8,317;3,769;4,548;8,186;3,704;4,482
05001;Comuna;Popular;55-59;6,494;2,908;3,586;6,789;3,045;3,744;7,062;3,174;3,888;7,231;3,253;3,978;7,402;3,331;4,071
05001;Comuna;Popular;60-64;4,640;2,066;2,574;4,860;2,158;2,702;5,105;2,262;2,843;5,300;2,342;2,958;5,538;2,447;3,091
