;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 05615 ; Antioquia ; Rionegro ;17,00;2,69;21,77;92,97;90,84;83,03;90,73
 15491 ; Boyacá ; Nobsa ;15,72;0,00;22,21;94,35;86,15;79,71;90,07
 25126 ; Cundinamarca ; Cajicá ;19,84;6,18;14,02;82,95;84,88;81,00;88,36
 25758 ; Cundinamarca ; Sopó ;26,19;3,38;16,90;94,97;77,94;72,19;87,84
 25817 ; Cundinamarca ; Tocancipá ;18,22;5,34;9,60;79,51;81,46;79,37;87,82
 25214 ; Cundinamarca ; Cota ;21,57;6,60;3,71;96,99;67,03;68,57;87,28
 85230 ; Casanare ; Orocué ;40,59;0,00;46,21;91,79;96,34;73,01;86,53
 25799 ; Cundinamarca ; Tenjo ;25,59;3,87;15,69;80,04;76,22;77,09;85,98
 81065 ; Arauca ; Arauquita ;57,16;0,00;48,32;86,60;93,75;76,20;85,41
 15176 ; Boyacá ; Chiquinquirá ;46,70;6,49;48,09;79,23;84,99;58,49;85,23
 50568 ; Meta ; Puerto Gaitán ;12,07;28,16;41,23;97,81;95,99;84,87;84,95
 85162 ; Casanare ; Monterrey ;52,88;0,00;62,93;92,60;94,17;81,12;84,92
 68081 ; Santander ; Barrancabermeja ;33,72;0,72;39,27;98,43;82,98;63,80;84,90
 05001 ; Antioquia ; Medellín ;28,42;3,58;28,56;78,54;88,72;70,52;84,82
 05607 ; Antioquia ; Retiro ;25,54;8,11;25,02;85,15;82,15;71,68;84,72
 25035 ; Cundinamarca ; Anapoima ;25,84;3,17;28,48;89,67;74,14;72,50;84,60
 11001 ; Bogotá, D.C. ; Bogotá, D.C. ;0,00;2,39;24,82;79,71;81,21;69,92;84,47
 05266 ; Antioquia ; Envigado ;17,73;9,22;21,41;80,03;80,52;74,01;84,34
 25295 ; Cundinamarca ; Gachancipá ;17,11;0,89;21,37;47,20;88,50;89,98;84,32
 08573 ; Atlántico ; Puerto Colombia ;52,10;0,00;23,07;90,49;77,34;55,14;83,99
 05360 ; Antioquia ; Itagui ;32,32;2,99;35,20;87,99;84,01;66,07;83,95
 25200 ; Cundinamarca ; Cogua ;27,29;1,23;38,64;84,04;86,14;69,19;83,92
 05380 ; Antioquia ; La Estrella ;27,09;4,79;14,39;70,33;80,91;68,34;83,85
 25473 ; Cundinamarca ; Mosquera ;23,38;10,42;41,27;93,18;85,10;72,47;83,66
 68679 ; Santander ; San Gil ;34,18;2,46;32,33;80,26;85,07;67,57;83,64
 25740 ; Cundinamarca ; Sibaté ;36,05;6,17;33,15;92,52;82,07;62,70;83,58
 25377 ; Cundinamarca ; La Calera ;30,98;8,56;25,05;88,84;81,12;62,07;83,56
 85279 ; Casanare ; Recetor ;25,58;0,00;11,44;51,39;97,28;58,48;83,29
 68001 ; Santander ; Bucaramanga ;31,37;6,03;42,82;95,04;85,45;63,08;83,12
 15407 ; Boyacá ; Villa de Leyva ;29,00;6,60;40,42;79,84;87,92;73,99;83,02
 25612 ; Cundinamarca ; Ricaurte ;27,99;3,70;26,31;84,18;75,23;65,05;82,97
 25286 ; Cundinamarca ; Funza ;28,05;7,07;13,74;58,38;81,91;76,08;82,95
 25488 ; Cundinamarca ; Nilo ;21,01;4,80;37,12;83,30;81,51;71,24;82,93
 85300 ; Casanare ; Sabanalarga ;60,60;0,00;36,27;77,67;81,11;70,54;82,84
 85139 ; Casanare ; Maní ;41,56;5,93;45,33;89,25;91,13;62,89;82,71
 47189 ; Magdalena ; Ciénaga ;33,08;0,00;63,96;93,82;94,60;66,21;82,70
 05308 ; Antioquia ; Girardota ;36,21;5,37;27,70;86,88;79,01;58,10;82,43
 05318 ; Antioquia ; Guarne ;26,26;6,73;42,49;84,85;83,91;71,22;82,39
 76892 ; Valle Del Cauca ; Yumbo ;37,55;10,54;19,30;94,98;68,10;57,62;82,24
 85001 ; Casanare ; Yopal ;39,65;0,26;61,29;91,52;91,22;66,18;82,13
 05579 ; Antioquia ; Puerto Berrío ;45,89;2,98;36,47;86,92;79,81;61,07;82,09
 15837 ; Boyacá ; Tuta ;32,96;1,03;39,53;85,42;75,69;65,64;81,74
 25430 ; Cundinamarca ; Madrid ;29,75;9,97;26,78;88,98;70,69;64,63;81,71
 85430 ; Casanare ; Trinidad ;41,96;0,00;75,41;94,17;94,64;70,78;81,67
 05212 ; Antioquia ; Copacabana ;41,86;2,45;31,07;89,18;72,30;57,91;81,65
 15806 ; Boyacá ; Tibasosa ;21,59;0,00;40,73;84,23;82,60;57,96;81,50
 52838 ; Nariño ; Túquerres ;64,40;8,59;38,10;74,54;92,76;64,53;81,49
 50150 ; Meta ; Castilla la Nueva ;36,78;0,00;69,84;93,87;89,58;69,69;81,48
 70001 ; Sucre ; Sincelejo ;58,59;1,00;58,07;91,65;93,11;57,34;81,46
 15507 ; Boyacá ; Otanche ;76,67;1,05;59,44;78,10;90,57;75,54;81,43
 25402 ; Cundinamarca ; La Vega ;50,27;3,25;34,80;80,16;79,37;62,56;81,35
 50006 ; Meta ; Acacías ;60,25;4,33;43,18;95,94;86,37;48,15;81,34
 25785 ; Cundinamarca ; Tabio ;41,16;4,39;40,30;79,76;84,15;62,99;81,08
 68092 ; Santander ; Betulia ;19,28;0,00;55,98;74,02;85,94;76,17;80,82
 44430 ; La Guajira ; Maicao ;64,67;0,00;86,65;89,29;97,10;78,34;80,69
 05631 ; Antioquia ; Sabaneta ;39,72;7,49;22,63;84,14;74,79;51,00;80,58
 66001 ; Risaralda ; Pereira ;45,86;4,15;54,28;93,50;84,14;59,11;80,56
 68547 ; Santander ; Piedecuesta ;29,38;7,01;63,82;86,60;90,86;71,89;80,52
 05376 ; Antioquia ; La Ceja ;41,83;7,79;39,24;80,98;82,84;61,67;80,40
 25175 ; Cundinamarca ; Chía ;35,91;10,24;28,94;70,93;78,32;68,58;80,26
 50313 ; Meta ; Granada ;40,47;2,91;52,30;80,95;88,94;61,26;80,18
 15759 ; Boyacá ; Sogamoso ;34,20;3,16;60,88;92,80;87,21;59,32;80,13
 47001 ; Magdalena ; Santa Marta ;30,30;0,00;71,01;82,21;91,11;72,54;80,09
 25386 ; Cundinamarca ; La Mesa ;32,65;8,28;40,05;83,77;81,34;59,22;80,01
 25594 ; Cundinamarca ; Quetame ;25,15;0,00;54,48;71,71;87,45;69,88;79,95
