timestamp,AmbientLightSensor
1564062587128,73.0
1564062587185,70.0
1564062587248,70.0
1564062587263,69.0
1564062587365,69.0
1564062587460,68.0
1564062587483,68.0
1564062587525,66.0
1564062587596,68.0
1564062587605,68.0
1564062587653,69.0
1564062587729,69.0
1564062587847,69.0
1564062587869,70.0
1564062587919,72.0
1564062587970,72.0
1564062587994,71.0
1564062588107,71.0
1564062588225,71.0
1564062588254,72.0
1564062588361,72.0
1564062588497,72.0
1564062588634,72.0
1564062588727,73.0
1564062588774,73.0
1564062588799,72.0
1564062588908,72.0
1564062589028,72.0
1564062589057,73.0
1564062589173,73.0
1564062589295,73.0
1564062589439,73.0
1564062589556,73.0
1564062589586,75.0
1564062589699,75.0
1564062589792,73.0
1564062589837,73.0
1564062589862,74.0
1564062589918,72.0
1564062589958,72.0
1564062590069,74.0
1564062590090,74.0
1564062590129,73.0
1564062590186,72.0
1564062590210,72.0
1564062590259,73.0
1564062590331,73.0
1564062590474,73.0
1564062590603,73.0
1564062590747,73.0
1564062590891,73.0
1564062590926,74.0
1564062591020,74.0
1564062591067,73.0
1564062591138,73.0
1564062591185,72.0
1564062591257,73.0
1564062591281,73.0
1564062591409,72.0
1564062591433,72.0
1564062591522,73.0
1564062591568,73.0
1564062591593,72.0
1564062591667,71.0
1564062591711,71.0
1564062591736,73.0
1564062591837,73.0
1564062591969,73.0
1564062592105,73.0
1564062592130,72.0
1564062592248,72.0
1564062592323,73.0
1564062592381,73.0
1564062592393,74.0
1564062592466,71.0
1564062592516,71.0
1564062592539,72.0
1564062592659,72.0
1564062592729,71.0
1564062592784,71.0
1564062592852,70.0
1564062592900,70.0
1564062593013,70.0
1564062593061,71.0
1564062593127,70.0
1564062593147,70.0
1564062593268,71.0
1564062593400,71.0
1564062593467,69.0
1564062593520,69.0
1564062593595,67.0
1564062593647,67.0
1564062593759,67.0
1564062593786,65.0
1564062593886,65.0
1564062593923,68.0
1564062593991,67.0
1564062594015,67.0
1564062594160,67.0
1564062594186,70.0
1564062594273,69.0
1564062594299,69.0
1564062594330,70.0
1564062594431,70.0
1564062594560,70.0
1564062594664,71.0
1564062594689,71.0
1564062594742,72.0
1564062594815,72.0
1564062594939,72.0
1564062594989,70.0
1564062595058,73.0
1564062595118,68.0
1564062595176,68.0
