timestamp,AmbientLightSensor
1564062508272,94.0
1564062508387,95.0
1564062508503,95.0
1564062508607,95.0
1564062508726,95.0
1564062508873,95.0
1564062509006,95.0
1564062509036,96.0
1564062509134,96.0
1564062509255,95.0
1564062509275,95.0
1564062509316,96.0
1564062509368,95.0
1564062509384,95.0
1564062509441,96.0
1564062509507,96.0
1564062509636,96.0
1564062509766,96.0
1564062509774,97.0
1564062509838,96.0
1564062509897,96.0
1564062509975,95.0
1564062510007,95.0
1564062510042,94.0
1564062510124,95.0
1564062510145,95.0
1564062510239,96.0
1564062510275,96.0
1564062510372,97.0
1564062510415,97.0
1564062510554,97.0
1564062510578,96.0
1564062510677,96.0
1564062510713,97.0
1564062510798,97.0
1564062510851,96.0
1564062510929,96.0
1564062510987,97.0
1564062511066,97.0
1564062511170,97.0
1564062511283,97.0
1564062511404,97.0
1564062511510,98.0
1564062511536,98.0
1564062511646,97.0
1564062511666,97.0
1564062511712,98.0
1564062511790,98.0
1564062511897,98.0
1564062511902,97.0
1564062511990,98.0
1564062512022,98.0
1564062512049,97.0
1564062512102,98.0
1564062512137,98.0
1564062512239,99.0
1564062512259,99.0
1564062512304,98.0
1564062512392,98.0
1564062512445,99.0
1564062512518,99.0
1564062512648,99.0
1564062512768,99.0
1564062512851,98.0
1564062512894,98.0
1564062512985,99.0
1564062513023,99.0
1564062513147,99.0
1564062513265,99.0
1564062513377,99.0
1564062513500,99.0
1564062513580,98.0
1564062513616,98.0
1564062513705,99.0
1564062513758,99.0
1564062513786,98.0
1564062513880,98.0
1564062514006,98.0
1564062514047,97.0
1564062514109,98.0
1564062514131,98.0
1564062514168,99.0
1564062514245,98.0
1564062514261,98.0
1564062514389,98.0
1564062514526,98.0
1564062514644,98.0
1564062514772,98.0
1564062514851,97.0
1564062514882,97.0
1564062514976,96.0
1564062515023,96.0
1564062515043,97.0
1564062515152,97.0
1564062515174,98.0
1564062515247,100.0
1564062515260,100.0
1564062515380,98.0
1564062515447,99.0
1564062515514,99.0
1564062515644,98.0
1564062515645,98.0
1564062515762,98.0
1564062515890,98.0
1564062515979,97.0
1564062516021,97.0
1564062516042,98.0
1564062516129,98.0
1564062516177,96.0
1564062516243,96.0
1564062516315,97.0
1564062516354,97.0
1564062516464,97.0
1564062516590,97.0
1564062516725,97.0
1564062516788,98.0
1564062516847,99.0
1564062516849,99.0
1564062516920,100.0
1564062516982,100.0
1564062517041,102.0
1564062517111,104.0
1564062517113,104.0
1564062517236,103.0
1564062517238,103.0
1564062517375,102.0
1564062517379,102.0
1564062517435,101.0
1564062517520,102.0
1564062517523,102.0
1564062517573,100.0
1564062517651,99.0
1564062517653,99.0
1564062517791,98.0
1564062517794,98.0
1564062517852,101.0
1564062517919,102.0
1564062517922,102.0
1564062518046,102.0
1564062518113,99.0
