Nro;Departamento;Cabecera;Resto;Total
1;Bogotá;8164178;16869;8181047
2;Antioquia;5262135;1428842;6690977
3;Valle del Cauca;4169228;586472;4755760
4;Cundinamarca;1906623;897615;2804238
5;Atlántico;2438772;107366;2546138
6;Bolívar;1693970;477588;2171558
7;Santander;1588034;502820;2090854
8;Nariño;907725;901576;1809301
9;Córdoba;950230;838418;1788648
10;Tolima;980713;439244;1419957
11;Cauca;567610;848535;1416145
12;Norte de Santander;1099486;291880;1391366
13;Magdalena;967710;330852;1298562
14;Boyacá;742726;539253;1281979
15;Huila;714762;482287;1197049
16;Cesar;805211;260426;1065637
17;La Guajira;570518;469675;1040193
18;Meta;775621;241051;1016672
19;Caldas;719730;274140;993870
20;Risaralda;761660;206120;967780
21;Sucre;596618;280406;877024
22;Quindío;506238;68722;574960
23;Chocó;253092;262074;515166
24;Caquetá;300040;196222;496262
25;Casanare;281609;93649;375258
26;Putumayo;179323;179573;358896
27;Arauca;172650;98058;270708
28;Guaviare;69723;46106;115829
29;Amazonas;29009;49821;78830
30;San Andrés y Providencia;56487;21926;78413
31;Vichada;34200;43076;77276
32;Vaupés;17679;27249;44928
33;Guainía;13090;30356;43446
