"Date";"Time";"Hour";"Temp Out";"Hi Temp";"Low Temp";"Out Hum";"Dew Pt.";"Wind Speed";"Wind Dir";"Wind Dir 2";"Wind Run";"Hi Speed";"Hi Dir";"Wind Chill";"Heat Index";"THW Index";"Bar";"Rain";"Rain Rate";"Heat D-D";"Cool D-D";"In Temp";"In Hum";"In Dew";"In Heat";"In EMC";"In Air Density";"Wind Samp";"Wind Tx";"ISS Recept";"Arc. Int."
01/04/2014;12:30 AM;0;13,8;14,1;13,6;87;11,7;3,2;"WNW";292,5;1,61;11,3;"WSW";13,8;13,8;13,8;762,4;0;0;0,095;0;19,3;66;12,8;19,3;12,15;0,0745;597;1;87,3;30
01/04/2014;01:00 AM;1;13,9;14;13,7;87;11,8;3,2;"WSW";247,5;1,61;12,9;"W";13,9;13,9;13,9;762,3;0;0;0,091;0;19,1;66;12,6;19;12,15;0,0746;603;1;88,2;30
01/04/2014;01:30 AM;1;13,4;14;13,4;88;11,4;1,6;"S";180;0,8;9,7;"WSW";13,4;13,4;13,4;762,3;0;0;0,103;0;18,8;66;12,3;18,7;12,15;0,0747;602;1;88;30
01/04/2014;02:00 AM;2;12,7;13,4;12,6;91;11,2;1,6;"W";270;0,8;6,4;"W";12,7;12,7;12,7;762,3;0;0;0,118;0;18,6;67;12,3;18,5;12,44;0,0747;596;1;87,1;30
01/04/2014;02:30 AM;2;13,9;13,9;12,4;88;11,9;1,6;"W";270;0,8;11,3;"SW";13,9;13,9;13,9;762,4;0;0;0,093;0;18,3;67;12,1;18,2;12,45;0,0748;595;1;87;30
01/04/2014;03:00 AM;3;12,9;13,9;12,9;90;11,3;1,6;"WNW";292,5;0,8;11,3;"NNE";12,9;12,9;12,9;762,3;0;0;0,113;0;18,1;67;11,9;17,9;12,46;0,0749;602;1;88;30
01/04/2014;03:30 AM;3;12,4;12,9;12,4;92;11,2;0;"NNE";22,5;0;1,6;"NNE";12,4;12,5;12,5;762;0;0;0,123;0;17,9;67;11,7;17,7;12,47;0,0749;610;1;89,2;30
01/04/2014;04:00 AM;4;12,7;12,8;12,4;92;11,5;0;"ENE";67,5;0;3,2;"NE";12,7;12,8;12,8;761,9;0;0;0,117;0;17,7;68;11,7;17,6;12,75;0,075;611;1;89,3;30
01/04/2014;04:30 AM;4;12,7;12,8;12,3;91;11,2;1,6;"NW";315;0,8;3,2;"NE";12,7;12,7;12,7;762;0;0;0,118;0;17,5;68;11,5;17,3;12,75;0,075;613;1;89,6;30
01/04/2014;05:00 AM;5;12,2;12,7;12,2;92;10,9;0;"W";270;0;3,2;"W";12,2;12,2;12,2;762,1;0;0;0,128;0;17,3;68;11,4;17,1;12,75;0,0751;617;1;90,2;30
