"Date";"Time";"Hour";"Temp Out";"Hi Temp";"Low Temp";"Out Hum";"Dew Pt.";"Wind Speed";"Wind Dir";"Wind Dir 2";"Wind Run";"Hi Speed";"Hi Dir";"Wind Chill";"Heat Index";"THW Index";"THSW Index";"Bar";"Rain";"Rain Rate";"Solar Rad.";"Solar Energy";"Hi Solar Rad.";"Heat D-D";"Cool D-D";"In Temp";"In Hum";"In Dew";"In Heat";"In EMC";"In Air Density";"ET";"Wind Samp";"Wind Tx";"ISS Recept";"Arc. Int."
01/08/2013;12:00:00 AM;0;17,6;18;17,6;60;9,7;1,6;"SE";135;0,8;6,4;"SE";17,6;17;17;15,1;1008,8;0;0;0;0;0;0,016;0;19,4;72;14,3;19,7;13,75;0,0738;0;639;1;93,4;30
01/08/2013;12:30:00 AM;0;17,2;17,6;17,2;59;9,1;1,6;"SW";225;0,8;6,4;"ENE";17,2;16,5;16,5;14,6;1008,9;0;0;0;0;0;0,024;0;19;72;13,8;19,2;13,75;0,074;0,05;632;1;92,4;30
01/08/2013;1:00:00 AM;1;17,2;17,2;17,1;60;9,4;1,6;"W";270;0,8;8;"WNW";17,2;16,6;16,6;14,7;1008,7;0;0;0;0;0;0,023;0;18,6;72;13,4;18,7;13,75;0,0741;0;571;1;83,5;30
01/08/2013;1:30:00 AM;1;16,9;17,2;16,9;61;9,3;1,6;"SSW";202,5;0,8;4,8;"E";16,9;16,3;16,3;14,3;1008,5;0;0;0;0;0;0,03;0;18,3;72;13,1;18,3;13,75;0,0742;0,03;646;1;94,4;30
01/08/2013;2:00:00 AM;2;16,9;16,9;16,8;61;9,4;1,6;"ESE";112,5;0,8;9,7;"W";16,9;16,3;16,3;14,4;1008,4;0;0;0;0;0;0,029;0;18,1;72;12,9;18,1;13,75;0,0742;0;646;1;94,4;30
01/08/2013;2:30:00 AM;2;15,9;16,9;15,9;69;10,2;3,2;"W";270;1,61;14,5;"W";15,9;15,6;15,6;13,7;1008,2;0;0;0;0;0;0,051;0;17,8;72;12,7;17,7;13,75;0,0743;0,05;653;1;95,5;30
01/08/2013;3:00:00 AM;3;15,7;15,8;15,3;69;10;3,2;"W";270;1,61;11,3;"W";15,7;15,3;15,3;13,4;1008,6;0;0;0;0;0;0,056;0;17,6;72;12,4;17,5;13,75;0,0744;0;648;1;94,7;30
01/08/2013;3:30:00 AM;3;15,7;15,7;15,5;63;8,7;4,8;"WSW";247,5;2,41;16,1;"W";15,7;15,2;15,2;13,2;1008,4;0;0;0;0;0;0,054;0;17,3;72;12,2;17,2;13,75;0,0745;0,05;654;1;95,6;30
01/08/2013;4:00:00 AM;4;16,9;16,9;15,7;57;8,4;6,4;"WNW";292,5;3,22;20,9;"W";16,9;16,2;16,2;14,3;1008,3;0;0;0;0;0;0,029;0;17,2;73;12,3;17,1;14,01;0,0745;0;652;1;95,3;30
01/08/2013;4:30:00 AM;4;16,8;17,3;16,8;56;8;6,4;"W";270;3,22;17,7;"W";16,8;16,1;16,1;14,1;1008,4;0;0;0;0;0;0,031;0;17,2;72;12,1;17,1;13,75;0,0745;0,05;656;1;95,9;30
