"Date";"Time";"Hour";"Temp Out";"Hi Temp";"Low Temp";"Out Hum";"Dew Pt.";"Wind Speed";"Wind Dir";"Wind Dir 2";"Wind Run";"Hi Speed";"Hi Dir";"Wind Chill";"Heat Index";"THW Index";"THSW Index";"Bar";"Rain";"Rain Rate";"Solar Rad.";"Solar Energy";"Hi Solar Rad.";"Heat D-D";"Cool D-D";"In Temp";"In Hum";"In Dew";"In Heat";"In EMC";"In Air Density";"ET";"Wind Samp";"Wind Tx";"ISS Recept";"Arc. Int."
02/01/2015;06:45 PM;18;14,3;14,3;14;99;14,2;0;"NE";45;0;3,2;"NE";14,3;14,6;14,6;12,3;1015,2;0;0;13;0,28;25;0,042;0;17,2;70;11,6;17;13,31;0,0751;0;350;1;100;15
02/01/2015;07:00 PM;19;14,3;14,3;14,2;99;14,2;0;"NE";45;0;1,6;"NE";14,3;14,6;14,6;12,2;1015,7;0;0;3;0,06;11;0,042;0;17,2;70;11,6;17;13,31;0,0751;0;350;1;100;15
02/01/2015;07:15 PM;19;14,3;14,4;14,3;99;14,2;0;"NA";"NA";0;0;"NA";14,3;14,6;14,6;12,2;1015,8;0;0;0;0;0;0,042;0;17,2;70;11,6;17;13,31;0,0751;0;350;1;100;15
02/01/2015;07:30 PM;19;14,2;14,3;14,1;99;14;0;"NE";45;0;3,2;"NE";14,2;14,4;14,4;12;1016;0;0;0;0;0;0,043;0;17,2;70;11,6;17;13,31;0,0751;0;348;1;100;15
02/01/2015;07:45 PM;19;14,1;14,2;14,1;99;13,9;0;"NE";45;0;1,6;"NE";14,1;14,3;14,3;11,9;1016;0;0;0;0;0;0,045;0;17,1;70;11,6;16,9;13,31;0,0751;0;350;1;100;15
02/01/2015;08:00 PM;20;14,2;14,2;14,1;99;14;0;"NA";"NA";0;0;"NA";14,2;14,4;14,4;12;1016,4;0;0;0;0;0;0,043;0;17,1;70;11,6;16,9;13,31;0,0752;0;349;1;100;15
02/01/2015;08:15 PM;20;14,1;14,2;14,1;99;13,9;0;"NA";"NA";0;0;"NA";14,1;14,3;14,3;11,9;1016,6;0;0;0;0;0;0,045;0;17,1;70;11,5;16,8;13,3;0,0752;0;349;1;100;15
02/01/2015;08:30 PM;20;14,1;14,1;14;99;13,9;0;"NA";"NA";0;0;"NA";14,1;14,3;14,3;11,9;1016,9;0;0;0;0;0;0,045;0;17,1;70;11,5;16,8;13,3;0,0752;0;348;1;100;15
02/01/2015;08:45 PM;20;14,3;14,3;14,1;99;14,2;0;"NA";"NA";0;0;"NA";14,3;14,6;14,6;12,2;1017,4;0;0;0;0;0;0,042;0;16,9;70;11,4;16,7;13,3;0,0753;0;348;1;100;15
02/01/2015;09:00 PM;21;14,4;14,4;14,3;99;14,2;0;"NA";"NA";0;0;"NA";14,4;14,6;14,6;12,2;1017,6;0;0;0;0;0;0,041;0;16,6;70;11,1;16,3;13,29;0,0754;0;348;1;100;15
02/01/2015;09:15 PM;21;14,3;14,4;14,3;99;14,2;0;"NA";"NA";0;0;"NA";14,3;14,6;14,6;12,2;1017,9;0;0;0;0;0;0,042;0;16,3;70;10,8;16;13,28;0,0755;0;350;1;100;15
02/01/2015;09:30 PM;21;14,1;14,3;14,1;99;14;0;"NE";45;0;3,2;"NE";14,1;14,3;14,3;11,9;1018,1;0;0;0;0;0;0,044;0;16,1;70;10,6;15,8;13,27;0,0756;0;350;1;100;15
02/01/2015;09:45 PM;21;14,1;14,1;14;99;13,9;0;"NE";45;0;3,2;"NE";14,1;14,3;14,3;11,9;1018;0;0;0;0;0;0,045;0;15,9;70;10,4;15,6;13,26;0,0757;0;349;1;100;15
02/01/2015;10:00 PM;22;14,2;14,2;14,1;99;14;0;"NA";"NA";0;0;"NA";14,2;14,4;14,4;12;1018,1;0;0;0;0;0;0,043;0;15,8;71;10,5;15,4;13,46;0,0757;0;347;1;100;15
02/01/2015;10:15 PM;22;14,2;14,2;14,2;99;14,1;3,2;"E";90;0,8;6,4;"ENE";14,2;14,4;14,4;12,1;1018,5;0;0;0;0;0;0,043;0;15,8;71;10,6;15,6;13,46;0,0757;0;351;1;100;15
02/01/2015;10:30 PM;22;14,2;14,2;14,2;99;14;3,2;"E";90;0,8;6,4;"E";14,2;14,4;14,4;12;1018,8;0;0;0;0;0;0,043;0;15,9;71;10,7;15,7;13,46;0,0757;0;349;1;100;15
02/01/2015;10:45 PM;22;14,2;14,2;14,1;99;14;3,2;"ENE";67,5;0,8;8;"ENE";14,2;14,4;14,4;12;1018,7;0;0;0;0;0;0,043;0;16,1;71;10,8;15,8;13,47;0,0757;0;348;1;100;15
02/01/2015;11:00 PM;23;14,2;14,2;14,2;99;14,1;0;"ENE";67,5;0;3,2;"ENE";14,2;14,4;14,4;12,1;1018,6;0;0;0;0;0;0,043;0;16,1;71;10,8;15,8;13,47;0,0756;0;349;1;100;15
02/01/2015;11:15 PM;23;14,3;14,3;14,2;99;14,1;0;"NA";"NA";0;0;"NA";14,3;14,5;14,5;12,1;1018,7;0,2;0;0;0;0;0,042;0;16,1;71;10,8;15,8;13,47;0,0757;0;347;1;100;15
02/01/2015;11:30 PM;23;14,4;14,4;14,3;99;14,2;0;"NA";"NA";0;0;"NA";14,4;14,6;14,6;12,2;1018,5;0,2;0,8;0;0;0;0,041;0;16;71;10,7;15,7;13,47;0,0757;0;349;1;100;15
02/01/2015;11:45 PM;23;14,4;14,4;14,4;99;14,3;0;"NA";"NA";0;0;"NA";14,4;14,7;14,7;12,3;1018,6;0,2;3,4;0;0;0;0,041;0;15,9;71;10,7;15,7;13,46;0,0757;0;348;1;100;15
03/01/2015;12:00 AM;0;14,3;14,4;14,3;99;14,2;1,6;"ENE";67,5;0,4;4,8;"ENE";14,3;14,6;14,6;12,2;1017,9;0;0;0;0;0;0,042;0;15,8;70;10,3;15,4;13,26;0,0757;0;348;1;100;15
03/01/2015;12:15 AM;0;14,4;14,5;14,3;99;14,3;0;"NW";315;0;3,2;"NW";14,4;14,7;14,7;12,3;1017,6;0,6;11,8;0;0;0;0,041;0;15,6;70;10,1;15,2;13,25;0,0758;0;349;1;100;15
03/01/2015;12:30 AM;0;14,3;14,4;14,3;99;14,1;3,2;"WSW";247,5;0,8;14,5;"WSW";14,3;14,5;14,5;12,1;1017,4;1;8,6;0;0;0;0,042;0;15,4;71;10,2;15,1;13,46;0,0758;0;350;1;100;15
03/01/2015;12:45 AM;0;14,3;14,3;14,3;99;14,2;1,6;"W";270;0,4;9,7;"W";14,3;14,6;14,6;12,2;1017,1;0,6;2,6;0;0;0;0,042;0;15,6;71;10,3;15,2;13,45;0,0757;0;350;1;100;15
03/01/2015;01:00 AM;1;14,3;14,3;14,3;99;14,1;1,6;"E";90;0,4;14,5;"ENE";14,3;14,5;14,5;12,1;1017,1;0,4;2,4;0;0;0;0,042;0;15,7;71;10,4;15,3;13,45;0,0757;0;351;1;100;15
03/01/2015;01:15 AM;1;14,2;14,3;14,2;99;14;8;"ENE";67,5;2,01;14,5;"ENE";13,9;14,4;14,1;11,7;1017,2;0,4;2,8;0;0;0;0,043;0;15,8;71;10,5;15,4;13,46;0,0756;0;350;1;100;15
03/01/2015;01:30 AM;1;14,2;14,2;14,1;99;14;3,2;"ENE";67,5;0,8;14,5;"NE";14,2;14,4;14,4;12;1017;0,2;2;0;0;0;0,043;0;15,8;71;10,6;15,6;13,46;0,0756;0;350;1;100;15
03/01/2015;01:45 AM;1;14,2;14,2;14,2;99;14;1,6;"ENE";67,5;0,4;9,7;"NNE";14,2;14,4;14,4;12;1017,3;0;0;0;0;0;0,043;0;15,9;71;10,6;15,6;13,46;0,0756;0;349;1;100;15
03/01/2015;02:00 AM;2;14,2;14,2;14,2;99;14;1,6;"NE";45;0,4;6,4;"NE";14,2;14,4;14,4;12;1017,2;0;0;0;0;0;0,043;0;15,9;71;10,6;15,6;13,46;0,0756;0;351;1;100;15
03/01/2015;02:15 AM;2;14,2;14,2;14,2;99;14;0;"NE";45;0;4,8;"NE";14,2;14,4;14,4;12;1017,1;0,4;1;0;0;0;0,043;0;15,9;71;10,6;15,6;13,46;0,0756;0;348;1;100;15
03/01/2015;02:30 AM;2;14,2;14,3;14,2;99;14,1;0;"NE";45;0;3,2;"NE";14,2;14,4;14,4;12,1;1017;0;0,8;0;0;0;0,043;0;15,9;71;10,7;15,7;13,46;0,0756;0;350;1;100;15
03/01/2015;02:45 AM;2;14,1;14,2;14,1;99;14;0;"NE";45;0;6,4;"NE";14,1;14,3;14,3;11,9;1017;0;0;0;0;0;0,044;0;15,9;71;10,7;15,7;13,46;0,0756;0;348;1;100;15
03/01/2015;03:00 AM;3;14,3;14,3;14,1;99;14,1;0;"NE";45;0;3,2;"NE";14,3;14,5;14,5;12,1;1016,9;0,2;0;0;0;0;0,042;0;15,9;71;10,6;15,6;13,46;0,0756;0;351;1;100;15
03/01/2015;03:15 AM;3;14,2;14,3;14,2;99;14,1;0;"NA";"NA";0;0;"NA";14,2;14,4;14,4;12,1;1016,9;0,2;0;0;0;0;0,043;0;15,6;71;10,4;15,3;13,45;0,0757;0;351;1;100;15
03/01/2015;03:30 AM;3;14;14,2;14;99;13,8;0;"NNE";22,5;0;3,2;"NNE";14;14,2;14,2;11,8;1016,8;0;0;0;0;0;0,045;0;15,5;71;10,3;15,2;13,46;0,0757;0;351;1;100;15
03/01/2015;03:45 AM;3;14,1;14,2;14;99;13,9;0;"NNE";22,5;0;1,6;"NNE";14,1;14,3;14,3;11,9;1016,8;0;0;0;0;0;0,045;0;15,4;71;10,2;15,1;13,46;0,0757;0;350;1;100;15
03/01/2015;04:00 AM;4;14,1;14,1;13,9;99;13,9;0;"NA";"NA";0;0;"NA";14,1;14,3;14,3;11,9;1016,9;0;0;0;0;0;0,045;0;15,5;71;10,3;15,2;13,46;0,0757;0;351;1;100;15
03/01/2015;04:15 AM;4;14,1;14,1;14,1;99;13,9;0;"NA";"NA";0;0;"NA";14,1;14,3;14,3;11,9;1016,8;0;0;0;0;0;0,045;0;15,5;71;10,3;15,2;13,46;0,0757;0;347;1;100;15
03/01/2015;04:30 AM;4;14,1;14,2;14,1;99;14;0;"NA";"NA";0;0;"NA";14,1;14,3;14,3;11,9;1017;0;0;0;0;0;0,044;0;15,5;71;10,3;15,2;13,46;0,0757;0;350;1;100;15
03/01/2015;04:45 AM;4;14,2;14,2;14,1;99;14,1;0;"NNE";22,5;0;1,6;"NNE";14,2;14,4;14,4;12,1;1016,9;0;0;0;0;0;0,043;0;15,5;71;10,3;15,2;13,46;0,0757;0;351;1;100;15
03/01/2015;05:00 AM;5;14,2;14,2;14,2;99;14;0;"NNE";22,5;0;3,2;"NNE";14,2;14,4;14,4;12;1017;0;0;0;0;0;0,043;0;15,6;71;10,3;15,2;13,45;0,0757;0;347;1;100;15
03/01/2015;05:15 AM;5;13,9;14,1;13,9;99;13,8;1,6;"NE";45;0,4;4,8;"NE";13,9;14,2;14,2;11,8;1017,3;0,2;0;0;0;0;0,046;0;15,6;71;10,4;15,3;13,45;0,0757;0;350;1;100;15
03/01/2015;05:30 AM;5;13,9;13,9;13,9;99;13,7;1,6;"NE";45;0,4;4,8;"NE";13,9;14,1;14,1;11,7;1017,5;0;0;0;0;0;0,046;0;15,7;71;10,4;15,3;13,45;0,0757;0;348;1;100;15
03/01/2015;05:45 AM;5;13,9;13,9;13,9;99;13,7;0;"NA";"NA";0;0;"NA";13,9;14,1;14,1;11,7;1017,9;0;0;0;0;0;0,046;0;15,7;71;10,4;15,3;13,45;0,0757;0;351;1;100;15
03/01/2015;06:00 AM;6;13,9;13,9;13,9;99;13,8;1,6;"NE";45;0,4;3,2;"NE";13,9;14,2;14,2;11,8;1018,3;0;0;0;0;0;0,046;0;15,7;71;10,5;15,4;13,46;0,0757;0;350;1;100;15
03/01/2015;06:15 AM;6;13,9;13,9;13,9;99;13,8;1,6;"NE";45;0,4;4,8;"NE";13,9;14,2;14,2;11,8;1018,6;0;0;6;0,13;9;0,046;0;15,7;71;10,5;15,4;13,46;0,0758;0;348;1;100;15
03/01/2015;06:30 AM;6;14,2;14,2;13,9;100;14,2;0;"ENE";67,5;0;1,6;"ENE";14,2;14,4;14,4;13,5;1018,8;0;0;14;0,3;21;0,043;0;15,7;71;10,5;15,4;13,46;0,0758;0;350;1;100;15
03/01/2015;06:45 AM;6;14,4;14,4;14,2;99;14,3;0;"ENE";67,5;0;3,2;"ENE";14,4;14,7;14,7;14,4;1018,7;0,2;0;40;0,86;58;0,041;0;15,6;71;10,3;15,2;13,45;0,0758;0;350;1;100;15
03/01/2015;07:00 AM;7;14,6;14,6;14,4;100;14,6;0;"WNW";292,5;0;4,8;"WNW";14,6;14,8;14,8;15,2;1018,9;0;0;70;1,51;88;0,039;0;15,4;71;10,2;15,1;13,47;0,0759;0,03;351;1;100;15
03/01/2015;07:15 AM;7;14,6;14,6;14,3;100;14,6;0;"WNW";292,5;0;4,8;"WNW";14,6;14,8;14,8;15,6;1019,2;0;0;91;1,96;102;0,039;0;15,4;71;10,2;15,1;13,46;0,0759;0;351;1;100;15
03/01/2015;07:30 AM;7;14,8;14,8;14,6;99;14,7;0;"NE";45;0;4,8;"ESE";14,8;15,1;15,1;16,2;1019,1;0;0;115;2,47;125;0,036;0;15,5;71;10,3;15,2;13,46;0,0759;0;349;1;100;15
03/01/2015;07:45 AM;7;14,9;14,9;14,8;99;14,7;0;"SSE";157,5;0;1,6;"SSE";14,9;15,2;15,2;16,5;1019,1;0;0;133;2,86;165;0,036;0;15,6;71;10,4;15,3;13,45;0,0758;0;350;1;100;15
03/01/2015;08:00 AM;8;15,2;15,2;14,8;99;15;0;"SE";135;0;3,2;"SSE";15,2;15,4;15,4;17,9;1019,3;0;0;217;4,67;250;0,033;0;15,8;71;10,6;15,6;13,46;0,0758;0,08;348;1;100;15
03/01/2015;08:15 AM;8;15,9;15,9;15,2;100;15,9;0;"SE";135;0;3,2;"SE";15,9;16,3;16,3;19,7;1019,5;0;0;285;6,13;315;0,025;0;15,9;71;10,6;15,6;13,46;0,0758;0;350;1;100;15
03/01/2015;08:30 AM;8;16,1;16,2;15,9;100;16,1;0;"SE";135;0;1,6;"SE";16,1;16,5;16,5;18,9;1019,7;0;0;229;4,92;253;0,023;0;16,1;71;10,8;15,8;13,47;0,0757;0;350;1;100;15
03/01/2015;08:45 AM;8;16,1;16,2;15,9;100;16,1;0;"SE";135;0;1,6;"SE";16,1;16,4;16,4;18;1019,8;0;0;178;3,83;197;0,024;0;16,3;71;11;16;13,48;0,0757;0;348;1;100;15
03/01/2015;09:00 AM;9;16,1;16,3;16;100;16,1;0;"SE";135;0;3,2;"SE";16,1;16,4;16,4;17,9;1020;0;0;178;3,83;195;0,024;0;16,4;71;11,2;16,2;13,48;0,0756;0,1;351;1;100;15
03/01/2015;09:15 AM;9;16,2;16,2;16;99;16;0;"SE";135;0;3,2;"SE";16,2;16,6;16,6;18,2;1020,2;0;0;203;4,37;260;0,023;0;16,6;71;11,3;16,3;13,49;0,0756;0;352;1;100;15
03/01/2015;09:30 AM;9;16;16,2;15,7;100;16;0;"SE";135;0;4,8;"ESE";16;16,4;16,4;18,7;1020,2;0;0;260;5,59;278;0,024;0;16,7;71;11,4;16,4;13,49;0,0756;0;349;1;100;15
03/01/2015;09:45 AM;9;15,8;16,1;15,8;99;15,6;0;"ESE";112,5;0;3,2;"ESE";15,8;16,1;16,1;18,2;1020,2;0;0;252;5,42;288;0,027;0;16,8;71;11,5;16,6;13,49;0,0755;0;350;1;100;15
03/01/2015;10:00 AM;10;15,8;15,9;15,7;99;15,7;1,6;"ENE";67,5;0,4;6,4;"ENE";15,8;16,2;16,2;18,5;1020,1;0;0;273;5,87;288;0,026;0;16,9;71;11,6;16,8;13,5;0,0755;0,13;351;1;100;15
03/01/2015;10:15 AM;10;15,7;15,9;15,6;99;15,5;4,8;"ENE";67,5;1,21;11,3;"ENE";15,7;16;16;19,4;1019,9;0;0;373;8,02;454;0,028;0;17,1;71;11,8;16,9;13,5;0,0754;0;348;1;100;15
03/01/2015;10:30 AM;10;15,9;15,9;15,6;99;15,7;1,6;"NE";45;0,4;8;"NE";15,9;16,2;16,2;19,7;1019,9;0;0;384;8,26;434;0,025;0;17,2;71;11,9;17;13,51;0,0754;0;350;1;100;15
03/01/2015;10:45 AM;10;16,1;16,2;15,7;99;16;0;"NE";45;0;4,8;"NE";16,1;16,5;16,5;19,9;1019,8;0;0;374;8,04;387;0,023;0;17,3;71;12;17,2;13,51;0,0754;0;347;1;100;15
03/01/2015;11:00 AM;11;16,4;16,5;16,1;99;16,2;0;"NE";45;0;3,2;"NE";16,4;16,8;16,8;19,9;1019,4;0;0;339;7,29;380;0,02;0;17,3;71;12;17,2;13,51;0,0753;0,2;349;1;100;15
03/01/2015;11:15 AM;11;16,3;16,3;16,2;99;16,2;0;"NE";45;0;1,6;"NE";16,3;16,7;16,7;18,9;1019,2;0,2;0;261;5,61;294;0,021;0;17,3;71;12;17,2;13,51;0,0753;0;351;1;100;15
03/01/2015;11:30 AM;11;16,4;16,4;16,3;99;16,2;0;"NE";45;0;1,6;"NE";16,4;16,8;16,8;18,6;1019;0,2;1;226;4,86;237;0,02;0;17,3;71;12;17,2;13,51;0,0753;0;351;1;100;15
03/01/2015;11:45 AM;11;16,4;16,4;16,3;99;16,2;0;"NE";45;0;1,6;"NE";16,4;16,8;16,8;18,8;1018,8;0,2;1;245;5,27;258;0,02;0;17,3;71;12;17,2;13,51;0,0753;0;350;1;100;15
03/01/2015;12:00 PM;12;16,4;16,4;16,3;99;16,2;0;"NE";45;0;1,6;"NE";16,4;16,8;16,8;19,1;1018,8;0;0;263;5,66;288;0,02;0;17,3;71;12;17,2;13,51;0,0753;0,13;351;1;100;15
03/01/2015;12:15 PM;12;16,5;16,5;16,3;99;16,3;0;"NE";45;0;1,6;"NE";16,5;16,9;16,9;19,9;1018,7;0,2;0;321;6,9;346;0,019;0;17,4;71;12,1;17,3;13,52;0,0752;0;349;1;100;15
03/01/2015;12:30 PM;12;16,3;16,5;16,3;99;16,1;0;"NE";45;0;1,6;"NE";16,3;16,7;16,7;19,8;1018,7;0;0;335;7,2;373;0,021;0;17,4;71;12,1;17,3;13,52;0,0752;0;352;1;100;15
03/01/2015;12:45 PM;12;16,5;16,6;16,3;99;16,3;0;"NE";45;0;4,8;"ENE";16,5;16,9;16,9;20,9;1018,4;0;0;426;9,16;489;0,019;0;17,5;71;12,2;17,4;13,52;0,0752;0;350;1;100;15
03/01/2015;01:00 PM;13;16,8;16,8;16,5;99;16,6;0;"NE";45;0;1,6;"ENE";16,8;17,2;17,2;21,3;1018,2;0;0;438;9,42;482;0,016;0;17,6;71;12,3;17,5;13,52;0,0751;0,2;349;1;100;15
03/01/2015;01:15 PM;13;16,7;16,8;16,7;99;16,5;0;"NE";45;0;3,2;"NE";16,7;17,1;17,1;21,3;1018,1;0;0;451;9,7;482;0,017;0;17,7;71;12,3;17,6;13,53;0,0751;0;347;1;100;15
03/01/2015;01:30 PM;13;16,8;16,8;16,4;99;16,6;0;"ENE";67,5;0;4,8;"ENE";16,8;17,2;17,2;21,9;1017,7;0;0;516;11,1;626;0,016;0;17,8;71;12,4;17,7;13,53;0,075;0;350;1;100;15
03/01/2015;01:45 PM;13;16,4;16,8;16,4;99;16,2;0;"ENE";67,5;0;4,8;"ENE";16,4;16,8;16,8;20,1;1017,3;0;0;363;7,81;410;0,02;0;17,9;71;12,6;17,8;13,53;0,075;0;350;1;100;15
03/01/2015;02:00 PM;14;17;17;16,3;99;16,8;0;"E";90;0;3,2;"E";17;17,5;17,5;20,7;1016,9;0;0;353;7,59;388;0,014;0;17,8;71;12,5;17,8;13,53;0,075;0,23;349;1;100;15
03/01/2015;02:15 PM;14;17,6;17,6;17;99;17,5;0;"E";90;0;1,6;"E";17,6;18,2;18,2;22,2;1016,6;0;0;430;9,25;490;0,008;0;17,9;71;12,6;17,8;13,53;0,0749;0;348;1;100;15
03/01/2015;02:30 PM;14;17;17,7;17;98;16,7;0;"NE";45;0;6,4;"NNE";17;17,5;17,5;20,7;1016,7;0;0;347;7,46;413;0,014;0;18,1;71;12,7;18,1;13,54;0,0749;0;348;1;100;15
03/01/2015;02:45 PM;14;16,3;17;16,3;98;16;1,6;"NE";45;0,4;6,4;"ENE";16,3;16,7;16,7;19,4;1016,4;0;0;307;6,6;380;0,021;0;18,1;71;12,8;18,1;13,54;0,0748;0;350;1;100;15
03/01/2015;03:00 PM;15;16,3;16,3;16,2;99;16,1;1,6;"ENE";67,5;0,4;9,7;"ENE";16,3;16,7;16,7;20,3;1016,1;0;0;381;8,19;434;0,021;0;18,1;71;12,8;18,1;13,54;0,0748;0,2;349;1;100;15
03/01/2015;03:15 PM;15;16,6;16,6;16,2;99;16,4;0;"ENE";67,5;0;6,4;"ENE";16,6;17;17;19,7;1016;0;0;293;6,3;392;0,019;0;18,2;71;12,8;18,2;13,54;0,0748;0;348;1;100;15
03/01/2015;03:30 PM;15;16,4;16,8;16,4;99;16,2;0;"ENE";67,5;0;1,6;"ENE";16,4;16,8;16,8;18,3;1015,9;0;0;187;4,02;230;0,02;0;18,2;71;12,9;18,2;13,55;0,0748;0;350;1;100;15
03/01/2015;03:45 PM;15;16,5;16,5;16,2;99;16,3;0;"ENE";67,5;0;1,6;"ENE";16,5;16,9;16,9;19,3;1015,6;0;0;249;5,35;287;0,019;0;18,2;71;12,9;18,2;13,55;0,0747;0;351;1;100;15
