"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
"DT";"Úbeda";"Claudio Fernando";17/09/79;37;"Argentina";1,8;77;"Director técnico";"Argentina"
12;"Cambeses";"Facundo";9/04/97;19;"Argentina";1,85;78;"Arquero";"Argentina"
20;" Conechny";"Tomás";30/03/98;18;"Argentina";1,68;65;"Delantero";"Argentina"
1;"Macagno";"Ramiro";18/03/97;19;"Argentina";1,85;77;"Arquero";"Argentina"
23;"Petroli";"Franco";11/06/98;18;"Argentina";1,81;72;"Arquero";"Argentina"
13;"Foyth";"Juan Marcos";12/01/98;19;"Argentina";1,79;69;"Defensor";"Argentina"
6;"Martínez";"Lisandro";18/01/98;19;"Argentina";;;"Defensor";"Argentina"
4;"Nahuel Molina";"Lucero";2/12/97;19;"Argentina";1,77;69;"Defensor";"Argentina"
2;"Romero";"Cristian Gabriel";27/04/98;18;"Argentina";1,85;;"Defensor";"Argentina"
3;"Valenzuela";"Milton";13/08/98;18;"Argentina";;;"Defensor";"Argentina"
14;"Zalazar";"Nicolás";29/01/97;19;"Argentina";1,75;;"Defensor";"Argentina"
5;"Ascacíbar";"Santiago";25/02/97;19;"Argentina";1,67;68;"Volante";"Argentina"
10;"Barco";"Ezequiel";29/03/99;17;"Argentina";;;"Volante";"Argentina"
17;"Belmonte";"Tomás";27/05/98;18;"Argentina";;;"Volante";"Argentina"
16;"Chicco";"Julián";13/01/98;19;"Argentina";1,81;79;"Volante";"Argentina"
11;"Mansilla";"Brian Ezequiel";16/04/97;19;"Argentina";1,81;70;"Volante";"Argentina"
15;"Moyano";"Franco";13/09/97;19;"Argentina";;;"Volante";"Argentina"
8;"Ojeda";"Pedro Emmanuel";5/11/97;19;"Argentina";;;"Volante";"Argentina"
18;"Pereyra";"Joaquín";1/12/98;18;"Argentina";1,81;71;"Volante";"Argentina"
7;"Rodríguez";"Lucas";27/04/97;19;"Argentina";1,68;64;"Volante";"Argentina"
19;"Zaracho";"Matías";10/03/98;18;"Argentina";1,72;79;"Volante";"Argentina"
9;"Martínez";"Lautaro";22/08/97;19;"Argentina";1,72;79;"Delantero";"Argentina"
22;"Nazareno Miérez";"Ramón";13/05/97;19;"Argentina";;;"Delantero";"Argentina"
21;"Torres";"Marcelo";6/11/97;19;"Argentina";;;"Delantero";"Argentina"
;"Sandy Sansusty";"Marco Antonio";29/08/71;45;"Bolivia";;;"Delantero";"Bolivia"
23;"Careaga";"Jesús Enrique";9/05/97;19;"Bolivia";;;"Arquero";"Bolivia"
12;"Claros";"Leonardo";3/04/98;18;"Bolivia";;;"Arquero";"Bolivia"
1;"Cordano";"Rubén";16/10/98;18;"Bolivia";1,85;74;"Arquero";"Bolivia"
2;"Mercado";"Juan  ";16/01/97;20;"Bolivia";;;"Defensor";"Bolivia"
3;"Carrasco";"Jose María";16/08/97;19;"Bolivia";;;"Defensor";"Bolivia"
16;"Céspedes Velasco";"Harry";21/07/98;18;"Bolivia";;69;"Defensor";"Bolivia"
5;"Haquim";"Luis";15/11/97;19;"Bolivia";;;"Defensor";"Bolivia"
4;"Reyes";"Juan Sebastián";12/03/97;19;"Bolivia";;;"Defensor";"Bolivia"
6;"Torrico Landivar";"Brandon";30/09/98;18;"Bolivia";;67;"Defensor";"Bolivia"
20;"Gutiérrez Mojica";"Limberg";18/06/98;18;"Bolivia";1,76;;"Volante";"Bolivia"
13;"Abelardo Ribera";"Carlos";6/02/97;19;"Bolivia";;;"Volante";"Bolivia"
14;"Roca";"Carlos Daniel";11/05/97;19;"Bolivia";;;"Volante";"Bolivia"
21;"Roca";"Clovis";21/09/97;19;"Bolivia";1,7;68;"Volante";"Bolivia"
10;"Vaca";"Ramiro";1/07/99;17;"Bolivia";;;"Volante";"Bolivia"
