"x";"y"
968,2;280,7
850,6;23,9
844,1;92,2
963,1;297
845,5;300,6
850,4;495,1
944,9;116,4
956,6;132,2
942,5;188,4
947;287,1
943,5;442,5
926,3;109,1
929,4;162
936,3;171,1
928,7;269,1
929,7;498,3
904,5;151,4
907,5;154,6
906,8;140,5
917;157,2
919,3;152
910,1;212,4
919,5;275,3
917;290,1
914,2;375,2
886,3;50,2
883,5;75,6
897,4;71,8
881,7;124,8
886,8;176
898;160,4
887,7;197,3
895,5;218
868,9;28
870,8;155,1
874;168,1
876,2;465,6
805,6;29,9
800,6;43
812;70,2
804,8;129,3
816,4;153,2
806,4;424
811,1;250,9
818,5;280,8
793,5;19
784,6;135,7
780,9;136,9
793,2;141,2
791,9;157,9
799,7;163,6
784,3;194,4
791,3;253
800;249,6
784;313,1
783,2;325,1
787,8;327,3
793,2;322,4
784,2;411,4
779;0,2
777,2;156,3
764,8;163,3
776,8;179,5
773,1;314,3
741,1;21,9
756,8;125,1
743,2;271
751,3;288,6
749,7;427,1
744,8;441,8
748,3;457,9
728,9;167,6
720,6;246,9
725,3;254
724,3;276,5
701,5;11,5
708,8;14,9
716,8;8,2
709,6;102,2
718,2;142,5
703;178,5
710,4;266,5
704,7;306
713,9;305,4
715,5;334,4
708,4;450,8
711,7;448,4
695,6;91,9
682,3;294,5
698,8;293,7
685,3;309,7
699,7;451,9
678;65,2
662,9;157,1
661,2;247,9
663,8;255,2
671,6;271,8
658,8;27,3
642,9;77,6
641,7;93,1
645,2;89,1
647,6;101,7
655,3;107,6
646,5;151,8
641,1;207,1
648;340,2
652,1;400,9
646,5;482,2
621,7;50,2
631,7;81,6
634,2;96,6
639,7;93,9
633;155,9
639,1;417,9
620,8;480,3
622,1;480,3
601,3;48,9
612,7;212,2
615,9;259,4
602,1;264,6
600,6;343,2
592,7;89,3
591,9;149,8
584,9;160,2
597,4;239,9
597,5;238
585,5;366,1
597;395,8
572,6;68,5
565,5;83,5
565,3;105,7
564,4;136,5
566,5;129,1
571,5;132,8
