Entry_variety_id  ,  plot ,RawYield ,Rep ,    LOC ,  I ,NLOC ,  Yield ,     LAT   ,   LNG 
    LANCER        ,     1 ,1101     ,    , 585.00 ,  1 ,   4 , 29.250 ,       1   ,    16
    BRULE         ,     2 ,1102     ,    , 631.00 ,  1 ,   4 , 31.550 ,       1   ,    17
    REDLAND       ,     3 ,1103     ,    , 701.00 ,  1 ,   4 , 35.050 ,       1   ,    18
    CODY          ,     4 ,1104     ,    , 602.00 ,  1 ,   4 , 30.100 ,       1   ,    19
    ARAPAHOE      ,     5 ,1105     ,    , 661.00 ,  1 ,   4 , 33.050 ,       1   ,    20
    NE83404       ,     6 ,1106     ,    , 605.00 ,  1 ,   4 , 30.250 ,       1   ,    21
    NE83406       ,     7 ,1107     ,  1 , 704.00 ,  1 ,   4 , 35.200 ,       1   ,    22
    NE83407       ,     8 ,1108     ,    , 388.00 ,  1 ,   4 , 19.400 ,       2   ,     1
    CENTURA       ,     9 ,1109     ,    , 487.00 ,  1 ,   4 , 24.350 ,       2   ,     2
    SCOUT 66      ,    10 ,1110     ,    , 511.00 ,  1 ,   4 , 25.550 ,       2   ,     3
    COLT          ,    11 ,1111     ,    , 502.00 ,  1 ,   4 , 25.100 ,       2   ,     4
    NE83498       ,    12 ,1112     ,    , 492.00 ,  1 ,   4 , 24.600 ,       2   ,     5
    NE84557       ,    13 ,1113     ,    , 509.00 ,  1 ,   4 , 25.450 ,       2   ,     6
    NE83432       ,    14 ,1114     ,    , 268.00 ,  1 ,   4 , 13.400 ,       2   ,     7
    NE85556       ,    15 ,1115     ,    , 633.00 ,  1 ,   4 , 31.650 ,       2   ,     8
    NE85623       ,    16 ,1116     ,    , 513.00 ,  1 ,   4 , 25.650 ,       2   ,     9
    CENTURK 78    ,    17 ,1117     ,    , 632.00 ,  1 ,   4 , 31.600 ,       2   ,    10
    NORKAN        ,    18 ,1118     ,    , 446.00 ,  1 ,   4 , 22.300 ,       2   ,    11
    KS831374      ,    19 ,1119     ,    , 684.00 ,  1 ,   4 , 34.200 ,       2   ,    12
    TAM 200       ,    20 ,1120     ,    , 422.00 ,  1 ,   4 , 21.100 ,       2   ,    13
