"Cod.Depto";"Nombre.Departamento";"Cod.Mpio";"Nombre.Municipio";"Cod.MpioCompleto";"NBI";"Nota.Aclaratoria"
5;"ANTIOQUIA";1;"MEDELLIN";5001;12,42;
5;"ANTIOQUIA";2;"ABEJORRAL";5002;33,85;
5;"ANTIOQUIA";4;"ABRIAQUI";5004;28,54;
5;"ANTIOQUIA";21;"ALEJANDRIA";5021;33,14;
5;"ANTIOQUIA";30;"AMAGA";5030;27,07;
5;"ANTIOQUIA";31;"AMALFI";5031;45,29;
5;"ANTIOQUIA";34;"ANDES";5034;30,49;
5;"ANTIOQUIA";36;"ANGELOPOLIS";5036;25,97;
5;"ANTIOQUIA";38;"ANGOSTURA";5038;55,16;
5;"ANTIOQUIA";40;"ANORI";5040;48,14;
5;"ANTIOQUIA";42;"SANTAFE DE ANTIOQUIA";5042;44,1;
5;"ANTIOQUIA";44;"ANZA";5044;51,34;
5;"ANTIOQUIA";45;"APARTADO";5045;24,53;
5;"ANTIOQUIA";51;"ARBOLETES";5051;72,4;
5;"ANTIOQUIA";55;"ARGELIA";5055;38,97;
5;"ANTIOQUIA";59;"ARMENIA";5059;39,83;
5;"ANTIOQUIA";79;"BARBOSA";5079;21,73;
5;"ANTIOQUIA";86;"BELMIRA";5086;29,05;
5;"ANTIOQUIA";88;"BELLO";5088;10,58;
5;"ANTIOQUIA";91;"BETANIA";5091;31,25;
5;"ANTIOQUIA";93;"BETULIA";5093;45,36;
5;"ANTIOQUIA";101;"CIUDAD BOLIVAR";5101;29,98;
5;"ANTIOQUIA";107;"BRICEÑO";5107;55,04;
5;"ANTIOQUIA";113;"BURITICA";5113;70,3;
5;"ANTIOQUIA";120;"CACERES";5120;66,81;
5;"ANTIOQUIA";125;"CAICEDO";5125;63,85;
5;"ANTIOQUIA";129;"CALDAS";5129;13,02;
5;"ANTIOQUIA";134;"CAMPAMENTO";5134;100;"Se asignó el máximo valor de NBI (100%) por no contar con información suficiente para su estimación"
5;"ANTIOQUIA";138;"CAÑASGORDAS";5138;57,09;
5;"ANTIOQUIA";142;"CARACOLI";5142;29,93;
5;"ANTIOQUIA";145;"CARAMANTA";5145;25;
5;"ANTIOQUIA";147;"CAREPA";5147;43,17;
5;"ANTIOQUIA";148;"EL CARMEN DE VIBORAL";5148;17,96;
5;"ANTIOQUIA";150;"CAROLINA";5150;17,42;
5;"ANTIOQUIA";154;"CAUCASIA";5154;52,41;
5;"ANTIOQUIA";172;"CHIGORODO";5172;40,15;
5;"ANTIOQUIA";190;"CISNEROS";5190;23,75;
5;"ANTIOQUIA";197;"COCORNA";5197;36,23;
5;"ANTIOQUIA";206;"CONCEPCION";5206;25,95;
5;"ANTIOQUIA";209;"CONCORDIA";5209;39,22;
5;"ANTIOQUIA";212;"COPACABANA";5212;9,75;
5;"ANTIOQUIA";234;"DABEIBA";5234;66,49;
5;"ANTIOQUIA";237;"DON MATIAS";5237;18,72;
5;"ANTIOQUIA";240;"EBEJICO";5240;42,52;
5;"ANTIOQUIA";250;"EL BAGRE";5250;50,75;
5;"ANTIOQUIA";264;"ENTRERRIOS";5264;15,26;
5;"ANTIOQUIA";266;"ENVIGADO";5266;5,43;
5;"ANTIOQUIA";282;"FREDONIA";5282;24,52;
5;"ANTIOQUIA";284;"FRONTINO";5284;44,37;
5;"ANTIOQUIA";306;"GIRALDO";5306;47,38;
5;"ANTIOQUIA";308;"GIRARDOTA";5308;15,43;
5;"ANTIOQUIA";310;"GOMEZ PLATA";5310;39,45;
5;"ANTIOQUIA";313;"GRANADA";5313;27,26;
5;"ANTIOQUIA";315;"GUADALUPE";5315;48,22;
5;"ANTIOQUIA";318;"GUARNE";5318;17,73;
5;"ANTIOQUIA";321;"GUATAPE";5321;14,51;
5;"ANTIOQUIA";347;"HELICONIA";5347;34,27;
5;"ANTIOQUIA";353;"HISPANIA";5353;28,26;
5;"ANTIOQUIA";360;"ITAGUI";5360;8,79;
5;"ANTIOQUIA";361;"ITUANGO";5361;65,22;
5;"ANTIOQUIA";364;"JARDIN";5364;24,28;
5;"ANTIOQUIA";368;"JERICO";5368;27,06;
5;"ANTIOQUIA";376;"LA CEJA";5376;13,75;
5;"ANTIOQUIA";380;"LA ESTRELLA";5380;11,64;
5;"ANTIOQUIA";390;"LA PINTADA";5390;37,63;
5;"ANTIOQUIA";400;"LA UNION";5400;18,4;
5;"ANTIOQUIA";411;"LIBORINA";5411;35,23;
5;"ANTIOQUIA";425;"MACEO";5425;35,42;
5;"ANTIOQUIA";440;"MARINILLA";5440;14,56;
5;"ANTIOQUIA";467;"MONTEBELLO";5467;33,97;
5;"ANTIOQUIA";475;"MURINDO";5475;97,08;
5;"ANTIOQUIA";480;"MUTATA";5480;60,74;
5;"ANTIOQUIA";483;"NARIÑO";5483;34,22;
5;"ANTIOQUIA";490;"NECOCLI";5490;77,8;
5;"ANTIOQUIA";495;"NECHI";5495;68,13;
5;"ANTIOQUIA";501;"OLAYA";5501;40,63;
5;"ANTIOQUIA";541;"PEÐOL";5541;21,53;
5;"ANTIOQUIA";543;"PEQUE";5543;74,51;
5;"ANTIOQUIA";576;"PUEBLORRICO";5576;30,02;
5;"ANTIOQUIA";579;"PUERTO BERRIO";5579;38,43;
5;"ANTIOQUIA";585;"PUERTO NARE";5585;31,94;
5;"ANTIOQUIA";591;"PUERTO TRIUNFO";5591;33,65;
5;"ANTIOQUIA";604;"REMEDIOS";5604;47,56;
5;"ANTIOQUIA";607;"RETIRO";5607;12,2;
5;"ANTIOQUIA";615;"RIONEGRO";5615;12,46;
5;"ANTIOQUIA";628;"SABANALARGA";5628;60,28;
5;"ANTIOQUIA";631;"SABANETA";5631;6,84;
5;"ANTIOQUIA";642;"SALGAR";5642;38,58;
5;"ANTIOQUIA";647;"SAN ANDRES DE CUERQUIA";5647;37,24;
5;"ANTIOQUIA";649;"SAN CARLOS";5649;32,41;
5;"ANTIOQUIA";652;"SAN FRANCISCO";5652;49,92;
5;"ANTIOQUIA";656;"SAN JERONIMO";5656;34,4;
5;"ANTIOQUIA";658;"SAN JOSE DE LA MONTAÑA";5658;21,52;
5;"ANTIOQUIA";659;"SAN JUAN DE URABA";5659;75,86;
5;"ANTIOQUIA";660;"SAN LUIS";5660;33,57;
5;"ANTIOQUIA";664;"SAN PEDRO";5664;17,87;
5;"ANTIOQUIA";665;"SAN PEDRO DE URABA";5665;82,5;
5;"ANTIOQUIA";667;"SAN RAFAEL";5667;35,1;
5;"ANTIOQUIA";670;"SAN ROQUE";5670;38,12;
5;"ANTIOQUIA";674;"SAN VICENTE";5674;29,92;
5;"ANTIOQUIA";679;"SANTA BARBARA";5679;28,46;
5;"ANTIOQUIA";686;"SANTA ROSA DE OSOS";5686;23,52;
5;"ANTIOQUIA";690;"SANTO DOMINGO";5690;29,07;
5;"ANTIOQUIA";697;"EL SANTUARIO";5697;20,73;
5;"ANTIOQUIA";736;"SEGOVIA";5736;41,37;
5;"ANTIOQUIA";756;"SONSON";5756;33,75;
5;"ANTIOQUIA";761;"SOPETRAN";5761;33,55;
5;"ANTIOQUIA";789;"TAMESIS";5789;28,25;
5;"ANTIOQUIA";790;"TARAZA";5790;61,97;
5;"ANTIOQUIA";792;"TARSO";5792;38,94;
5;"ANTIOQUIA";809;"TITIRIBI";5809;27,78;
5;"ANTIOQUIA";819;"TOLEDO";5819;50,47;
5;"ANTIOQUIA";837;"TURBO";5837;67,38;
5;"ANTIOQUIA";842;"URAMITA";5842;63,59;
5;"ANTIOQUIA";847;"URRAO";5847;40,2;
5;"ANTIOQUIA";854;"VALDIVIA";5854;54,49;
5;"ANTIOQUIA";856;"VALPARAISO";5856;26,25;
5;"ANTIOQUIA";858;"VEGACHI";5858;46,33;
5;"ANTIOQUIA";861;"VENECIA";5861;26,01;
5;"ANTIOQUIA";873;"VIGIA DEL FUERTE";5873;68,35;
5;"ANTIOQUIA";885;"YALI";5885;44,94;
5;"ANTIOQUIA";887;"YARUMAL";5887;28,26;
5;"ANTIOQUIA";890;"YOLOMBO";5890;40,63;
5;"ANTIOQUIA";893;"YONDO";5893;59,05;
5;"ANTIOQUIA";895;"ZARAGOZA";5895;64,3;
8;"ATLANTICO";1;"BARRANQUILLA";8001;17,72;
8;"ATLANTICO";78;"BARANOA";8078;26,82;
8;"ATLANTICO";137;"CAMPO DE LA CRUZ";8137;62,86;
8;"ATLANTICO";141;"CANDELARIA";8141;74,22;
8;"ATLANTICO";296;"GALAPA";8296;39,19;
8;"ATLANTICO";372;"JUAN DE ACOSTA";8372;30,95;
8;"ATLANTICO";421;"LURUACO";8421;50,54;
8;"ATLANTICO";433;"MALAMBO";8433;31,84;
8;"ATLANTICO";436;"MANATI";8436;57,14;
