Nombre;latitud;longitud;lat;long
Aguja, C. de la;11G18MN;74G12MW;11,3;-74,2
Antioquia;06G40MN;75G55MW;6,6666666667;-75,9166666667
Apaporis;01G23MS;69G25MW;-1,3833333333;-69,4166666667
Arauca;07G00MN;70G40MW;7;-70,6666666667
Arica;02G00MS;71G50MW;-2;-71,8333333333
Arjona;10G14MN;75G22MW;10,2333333333;-75,3666666667
Armenia;04G35MN;75G45MW;4,5833333333;-75,75
Barbosa;05G57MN;73G37MW;5,95;-73,6166666667
Barrancabermeja;07G00MN;73G50MW;7;-73,8333333333
Barranquilla;11G00MN;74G50MW;11;-74,8333333333
Bello;06G20MN;75G33MW;6,3333333333;-75,55
Bogotá;04G34MN;74G00MW;4,5666666667;-74
Bucaramanga;07G00MN;73G00MW;7;-73
Buenaventura;03G53MN;77G04MW;3,8833333333;-77,0666666667
Buga;04G00MN;76G15MW;4;-76,25
Caguán;00G08MS;74G18MW;-0,1333333333;-74,3
Calamar;10G15MN;74G55MW;10,25;-74,9166666667
Cali;03G25MN;76G35MW;3,4166666667;-76,5833333333
Caquetá;01G15MS;69G15MW;-1,25;-69,25
Carmen;09G43MN;75G08MW;9,7166666667;-75,1333333333
Cartagena;10G25MN;75G33MW;10,4166666667;-75,55
Cartago;04G45MN;75G55MW;4,75;-75,9166666667
Cauca;08G54MN;74G28MW;8,9;-74,4666666667
Central, Cordillera;05G00MN;75G00MW;5;-75
Charambira, Punta;04G16MN;77G32MW;4,2666666667;-77,5333333333
Chiquinquirá;05G37MN;73G50MW;5,6166666667;-73,8333333333
Cienaga;11G01MN;74G15MW;11,0166666667;-74,25
Corrientes, C.;05G30MN;77G34MW;5,5;-77,5666666667
Cucuta;07G54MN;72G31MW;7,9;-72,5166666667
Cupica, G. de;06G25MN;77G30MW;6,4166666667;-77,5
Darien, G. del;09G00MN;77G00MW;9;-77
El Diviso;01G22MN;78G14MW;1,3666666667;-78,2333333333
Florencia;01G36MN;75G36MW;1,6;-75,6
Fundacion;10G31MN;74G11MW;10,5166666667;-74,1833333333
Fusagasuga;04G21MN;74G22MW;4,35;-74,3666666667
Gallinas, Pta;12G28MN;71G40MW;12,4666666667;-71,6666666667
Garzón;02G10MN;75G40MW;2,1666666667;-75,6666666667
Gorgona, I.;03G00MN;78G10MW;3;-78,1666666667
Guainía;02G01MN;67G07MW;2,0166666667;-67,1166666667
Guajira, Pen. da la;12G00MN;72G00MW;12;-72
Guaviare;04G03MN;67G44MW;4,05;-67,7333333333
Huila, Nevado del;03G00MN;76G00MW;3;-76
Ibague;04G20MN;75G20MW;4,3333333333;-75,3333333333
Inirida;03G55MN;67G52MW;3,9166666667;-67,8666666667
Ipiales;00G50MN;77G37MW;0,8333333333;-77,6166666667
La Pedrera;01G18MS;69G43MW;-1,3;-69,7166666667
La Tagua;00G03MN;74G40MW;0,05;-74,6666666667
Leticia;04G09MS;70G00MW;-4,15;-70
Magangué;09G14MN;74G45MW;9,2333333333;-74,75
Magdalena;11G06MN;74G51MW;11,1;-74,85
Malpelo I. De;04G03MN;81G35MW;4,05;-81,5833333333
Manizales;05G05MN;75G32MW;5,0833333333;-75,5333333333
Medellín;06G15MN;75G35MW;6,25;-75,5833333333
Mitu;01G15MN;70G13MW;1,25;-70,2166666667
Mococa;01G07MN;76G35MW;1,1166666667;-76,5833333333
Mompos;09G14MN;74G26MW;9,2333333333;-74,4333333333
Monteria;08G46MN;75G53MW;8,7666666667;-75,8833333333
Morrosquillo, G. de.;09G35MN;75G40MW;9,5833333333;-75,6666666667
Mosquera;02G35MN;78G24MW;2,5833333333;-78,4
Neiva;02G56MN;75G18MW;2,9333333333;-75,3
Cordillera Occidental;05G0MN;76G0MW;5;-76
Cordillera Oriental;06G0MN;73G0MW;6;-73
Orocué;04G48MN;71G20MW;4,8;-71,3333333333
Pamplona;07G23MN;72G39MW;7,3833333333;-72,65
Pasto;01G13MN;77G17MW;1,2166666667;-77,2833333333
Patia;02G13MN;78G40MW;2,2166666667;-78,6666666667
Pereira;04G49MN;75G43MW;4,8166666667;-75,7166666667
Sierra de Perijá;09G30MN;73G03MW;9,5;-73,05
Popayán;02G27MN;76G36MW;2,45;-76,6
Providencia I. De;13G25MN;81G26MW;13,4166666667;-81,4333333333
Puerto Carreño;06G12MN;67G22MW;6,2;-67,3666666667
Puerto Inirida;03G53MN;67G52MW;3,8833333333;-67,8666666667
Puerto Leguizamo;0G12MS;74G46MW;-0,2;-74,7666666667
Puerto Limon;03G23MN;73G30MW;3,3833333333;-73,5
Puerto Wilches;07G21MN;73G54MW;7,35;-73,9
Vol. Puracé.;02G21MN;76G23MW;2,35;-76,3833333333
Quibdo;05G42MN;76G40MW;5,7;-76,6666666667
Riohacha;11G33MN;72G55MW;11,55;-72,9166666667
Riosucio;7G27MN;77G7MW;7,45;-77,1166666667
Roncador Cayos;13G32MN;80G4MW;13,5333333333;-80,0666666667
Santa Marta;11G15MN;74G13MW;11,25;-74,2166666667
Tolima;4G40MN;75G19MW;4,6666666667;-75,3166666667
Tomo;5G20MN;67G48MW;5,3333333333;-67,8
Tuluá;4G6MN;76G11MW;4,1;-76,1833333333
Tumaco;1G50MN;78G45MW;1,8333333333;-78,75
Tunja;5G33MN;73G25MW;5,55;-73,4166666667
Vichada;4G55MN;67G50MW;4,9166666667;-67,8333333333
Villavicencio;4G9MN;73G37MW;4,15;-73,6166666667
yari;0G20MS;72G20MW;-0,3333333333;-72,3333333333
Yarumal;6G58MN;75G24MW;6,9666666667;-75,4
