"x" "y" "elev"
4.572 92.964 265.176
21.336 94.488 241.7064
36.576 92.964 230.124
54.864 94.488 210.312
86.868 94.488 243.84
24.384 79.248 243.84
44.196 77.724 222.504
51.816 80.772 221.8944
51.816 86.868 216.408
73.152 85.344 237.744
80.772 76.2 245.0592
94.488 79.248 260.604
3.048 65.532 252.984
13.716 64.008 247.8024
35.052 73.152 232.2576
38.1 68.58 233.172
45.72 68.58 225.552
53.34 68.58 233.172
62.484 70.104 231.648
74.676 64.008 240.792
96.012 65.532 249.936
13.716 48.768 260.604
25.908 57.912 247.4976
36.576 57.912 235.6104
56.388 53.34 247.4976
68.58 48.768 252.0696
79.248 48.768 245.364
96.012 51.816 256.032
4.572 36.576 271.272
30.48 41.148 249.936
57.912 35.052 266.0904
96.012 33.528 266.7
9.144 25.908 266.0904
22.86 27.432 263.652
32.004 27.432 256.3368
32.004 16.764 262.7376
47.244 16.764 276.7584
68.58 27.432 260.604
83.82 25.908 259.08
86.868 15.24 268.8336
94.488 15.24 277.368
6.096 7.62 286.512
21.336 9.144 278.892
21.336 1.524 271.272
32.004 10.668 268.224
35.052 4.572 265.176
47.244 0 268.224
62.484 12.192 292.608
82.296 6.096 271.272
91.44 1.524 262.128
86.868 45.72 252.984
54.864 91.44 214.884
