"orden";"dias";"tipoJugo";"vitamC"
2;0;"Richfood";52,6
9;0;"Richfood";54,2
6;0;"Richfood";49,8
8;0;"Richfood";46,5
12;0;"Sealed-Sweet";56
10;0;"Sealed-Sweet";48
4;0;"Sealed-Sweet";49,6
7;0;"Sealed-Sweet";48,4
5;0;"Minute Maid";52,5
1;0;"Minute Maid";52
11;0;"Minute Maid";51,8
3;0;"Minute Maid";53,6
1;3;"Richfood";49,4
2;3;"Richfood";49,2
12;3;"Richfood";42,8
4;3;"Richfood";53,2
8;3;"Sealed-Sweet";48,8
9;3;"Sealed-Sweet";44
7;3;"Sealed-Sweet";44
11;3;"Sealed-Sweet";42,4
6;3;"Minute Maid";48
10;3;"Minute Maid";47
3;3;"Minute Maid";48,2
5;3;"Minute Maid";49,6
12;7;"Richfood";42,7
4;7;"Richfood";48,8
8;7;"Richfood";40,4
1;7;"Richfood";47,6
6;7;"Sealed-Sweet";49,2
11;7;"Sealed-Sweet";44
10;7;"Sealed-Sweet";42
7;7;"Sealed-Sweet";43,2
2;7;"Minute Maid";48,5
9;7;"Minute Maid";43,4
3;7;"Minute Maid";45,2
5;7;"Minute Maid";47,6
