Acuario;Aumento de peso;Salinidad;Densidad de población;Temperatura
16;86;10;80;25
6;52;10;80;25
25;73;10;80;25
8;544;25;80;25
22;371;25;80;25
18;482;25;80;25
11;390;40;80;25
7;290;40;80;25
31;397;40;80;25
28;53;10;160;25
35;73;10;160;25
33;86;10;160;25
26;393;25;160;25
17;398;25;160;25
2;208;25;160;25
4;249;40;160;25
5;265;40;160;25
13;243;40;160;25
10;439;10;80;35
19;436;10;80;35
20;349;10;80;35
3;249;25;80;35
36;245;25;80;35
24;330;25;80;35
32;247;40;80;35
9;277;40;80;35
29;205;40;80;35
21;324;10;160;35
15;305;10;160;35
12;364;10;160;35
34;352;25;160;35
23;267;25;160;35
14;316;25;160;35
30;118;40;160;35
1;223;40;160;35
27;281;40;160;35
